Country,Revenue
France,50.22
Netherlands,147.12
Spain,5.98
United Kingdom,6.429999999999999
France,183.82
Germany,27.92
Netherlands,17.25
United Kingdom,48.3
Belgium,91.96
United Kingdom,3.87
Belgium,33.12
Germany,47.599999999999994
Netherlands,16.56
United Kingdom,40.75
France,4.57
Spain,7.9
Belgium,8.459999999999999
France,30.23
Germany,17.92
Netherlands,45.36
Spain,9.04
United Kingdom,206.39999999999998
Belgium,9.24
France,114.96000000000001
Germany,120.18
Netherlands,121.44
Spain,123.84
United Kingdom,163.92000000000002
France,76.32000000000001
Netherlands,138.0
Spain,22.92
United Kingdom,15.36
France,20.88
Germany,60.54
Netherlands,87.36000000000001
Spain,37.66
Netherlands,123.25
Belgium,7.12
France,85.68
Germany,8.86
Spain,6.76
United Kingdom,6.5
Germany,37.32
Netherlands,86.2
United Kingdom,23.0
Belgium,3.48
France,12.42
Germany,-9.74
Netherlands,111.56
United Kingdom,16.72
France,19.15
Germany,14.940000000000001
United Kingdom,19.310000000000002
Belgium,27.839999999999996
France,48.36
Germany,4.32
Spain,7.46
United Kingdom,14.580000000000002
France,36.099999999999994
Germany,9.52
United Kingdom,8.7
Belgium,21.63
Netherlands,20.6
Spain,112.79
United Kingdom,24.08
Belgium,6.0
France,20.22
Germany,62.28
Netherlands,155.51999999999998
Spain,112.80000000000001
United Kingdom,11.58
France,23.650000000000002
Germany,24.18
Spain,2.03
Belgium,71.23
France,44.58
Netherlands,11.52
Spain,49.44
Belgium,91.92
France,25.64
Spain,57.12
Belgium,48.72
Netherlands,26.43
Spain,58.5
United Kingdom,61.56
Belgium,63.72
France,114.60000000000001
Germany,82.34
Netherlands,16.86
Spain,12.46
United Kingdom,19.14
Belgium,19.79
Spain,14.42
United Kingdom,15.96
Belgium,18.419999999999998
France,10.44
Netherlands,101.28
Spain,54.699999999999996
United Kingdom,43.59
Belgium,38.160000000000004
Germany,167.7
Netherlands,292.32
United Kingdom,0.98
France,18.06
Germany,72.36
Netherlands,77.52
Spain,23.16
Germany,20.94
Netherlands,113.52000000000001
United Kingdom,57.64
Netherlands,19.200000000000003
United Kingdom,-4.38
