InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,InvoiceDateParsed,TransactionDate,Year,Month,Revenue,IsReturn
536370,22633,HAND WARMER UNION JACK,2,2011-02-03 16:55:00,2.47,14081,Spain,2011-02-03 16:55:00,2011-02-03,2011,2011-02,4.94,False
536371,84029E,RED WOOLLY HOTTIE WHITE HEART,12,2011-03-25 13:28:00,5.13,16044,United Kingdom,2011-03-25 13:28:00,2011-03-25,2011,2011-03,61.56,False
536371,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2011-03-17 11:00:00,2.68,17515,United Kingdom,2011-03-17 11:00:00,2011-03-17,2011,2011-03,5.36,False
536371,22752,SET 7 BABUSHKA NESTING BOXES,4,2011-02-05 18:31:00,1.68,13429,Belgium,2011-02-05 18:31:00,2011-02-05,2011,2011-02,6.72,False
536372,22633,HAND WARMER UNION JACK,4,2011-02-22 11:06:00,7.43,15877,France,2011-02-22 11:06:00,2011-02-22,2011,2011-02,29.72,False
536372,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2011-01-13 08:25:00,4.05,13241,Germany,2011-01-13 08:25:00,2011-01-13,2011,2011-01,48.599999999999994,False
536372,84406B,CREAM CUPID HEARTS COAT HANGER,3,2011-03-01 11:55:00,4.64,15976,Spain,2011-03-01 11:55:00,2011-03-01,2011,2011-03,13.919999999999998,False
536373,22632,HAND WARMER RED POLKA DOT,1,2011-01-31 10:26:00,1.65,14097,Netherlands,2011-01-31 10:26:00,2011-01-31,2011,2011-01,1.65,False
536373,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2011-02-28 12:27:00,3.41,16898,Belgium,2011-02-28 12:27:00,2011-02-28,2011,2011-02,10.23,False
536373,84029E,RED WOOLLY HOTTIE WHITE HEART,1,2011-03-16 16:03:00,4.72,12814,United Kingdom,2011-03-16 16:03:00,2011-03-16,2011,2011-03,4.72,False
536374,22632,HAND WARMER RED POLKA DOT,6,2011-01-11 10:04:00,2.2,17877,Germany,2011-01-11 10:04:00,2011-01-11,2011,2011-01,13.200000000000001,False
536374,84879,ASSORTED COLOUR BIRD ORNAMENT,6,2011-01-06 17:05:00,5.25,17127,Spain,2011-01-06 17:05:00,2011-01-06,2011,2011-01,31.5,False
536374,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,2011-01-31 12:25:00,3.3,17633,France,2011-01-31 12:25:00,2011-01-31,2011,2011-01,9.899999999999999,False
536375,71053,WHITE METAL LANTERN,2,2011-01-10 16:13:00,3.92,13431,France,2011-01-10 16:13:00,2011-01-10,2011,2011-01,7.84,False
536375,22752,UNKNOWN_ITEM,4,2011-03-11 12:39:00,3.3,17703,Spain,2011-03-11 12:39:00,2011-03-11,2011,2011-03,13.2,False
536375,84029E,RED WOOLLY HOTTIE WHITE HEART,1,2011-01-18 12:07:00,8.2,16878,Germany,2011-01-18 12:07:00,2011-01-18,2011,2011-01,8.2,False
536376,22752,SET 7 BABUSHKA NESTING BOXES,12,2011-02-03 16:31:00,4.47,12762,United Kingdom,2011-02-03 16:31:00,2011-02-03,2011,2011-02,53.64,False
536376,71053,WHITE METAL LANTERN,12,2011-01-20 16:02:00,6.15,17117,Spain,2011-01-20 16:02:00,2011-01-20,2011,2011-01,73.80000000000001,False
536377,84029E,RED WOOLLY HOTTIE WHITE HEART,24,2011-01-06 13:13:00,2.06,17809,United Kingdom,2011-01-06 13:13:00,2011-01-06,2011,2011-01,49.44,False
536377,21730,UNKNOWN_ITEM,12,2011-01-20 11:55:00,4.92,13796,Netherlands,2011-01-20 11:55:00,2011-01-20,2011,2011-01,59.04,False
536377,22752,SET 7 BABUSHKA NESTING BOXES,4,2011-03-27 11:17:00,0.58,18090,United Kingdom,2011-03-27 11:17:00,2011-03-27,2011,2011-03,2.32,False
536378,22633,UNKNOWN_ITEM,24,2011-02-28 13:19:00,1.84,14210,Germany,2011-02-28 13:19:00,2011-02-28,2011,2011-02,44.160000000000004,False
536378,22752,SET 7 BABUSHKA NESTING BOXES,1,2011-02-05 13:41:00,4.89,17912,Spain,2011-02-05 13:41:00,2011-02-05,2011,2011-02,4.89,False
536378,84029E,RED WOOLLY HOTTIE WHITE HEART,3,2011-01-05 09:38:00,5.98,14915,Netherlands,2011-01-05 09:38:00,2011-01-05,2011,2011-01,17.94,False
536379,21730,GLASS STAR FROSTED T-LIGHT HOLDER,2,2011-02-02 08:45:00,4.84,16605,Spain,2011-02-02 08:45:00,2011-02-02,2011,2011-02,9.68,False
536379,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,2011-03-27 13:39:00,4.27,13366,Belgium,2011-03-27 13:39:00,2011-03-27,2011,2011-03,4.27,False
536379,21730,GLASS STAR FROSTED T-LIGHT HOLDER,12,2011-02-07 16:08:00,3.9,17793,Netherlands,2011-02-07 16:08:00,2011-02-07,2011,2011-02,46.8,False
536380,84879,ASSORTED COLOUR BIRD ORNAMENT,4,2011-03-12 08:19:00,1.54,15867,Spain,2011-03-12 08:19:00,2011-03-12,2011,2011-03,6.16,False
536380,22633,HAND WARMER UNION JACK,2,2011-03-07 15:50:00,3.06,13736,Belgium,2011-03-07 15:50:00,2011-03-07,2011,2011-03,6.12,False
536380,84879,UNKNOWN_ITEM,24,2011-01-31 18:19:00,3.58,13977,Germany,2011-01-31 18:19:00,2011-01-31,2011,2011-01,85.92,False
536381,22633,HAND WARMER UNION JACK,24,2011-01-10 15:26:00,6.61,17061,Germany,2011-01-10 15:26:00,2011-01-10,2011,2011-01,158.64000000000001,False
536381,21730,GLASS STAR FROSTED T-LIGHT HOLDER,12,2011-03-30 08:57:00,5.19,13219,Netherlands,2011-03-30 08:57:00,2011-03-30,2011,2011-03,62.28,False
536381,22632,HAND WARMER RED POLKA DOT,6,2011-02-01 09:29:00,0.97,16152,Belgium,2011-02-01 09:29:00,2011-02-01,2011,2011-02,5.82,False
536382,22752,SET 7 BABUSHKA NESTING BOXES,4,2011-03-20 16:27:00,5.15,16834,Netherlands,2011-03-20 16:27:00,2011-03-20,2011,2011-03,20.6,False
536382,22633,HAND WARMER UNION JACK,24,2011-02-01 18:17:00,3.73,16616,Netherlands,2011-02-01 18:17:00,2011-02-01,2011,2011-02,89.52,False
536382,71053,WHITE METAL LANTERN,2,2011-02-04 13:20:00,3.15,13006,Germany,2011-02-04 13:20:00,2011-02-04,2011,2011-02,6.3,False
536383,84406B,CREAM CUPID HEARTS COAT HANGER,1,2011-02-23 14:21:00,5.72,15752,United Kingdom,2011-02-23 14:21:00,2011-02-23,2011,2011-02,5.72,False
536383,84879,ASSORTED COLOUR BIRD ORNAMENT,1,2011-03-15 14:30:00,6.56,GUEST,Netherlands,2011-03-15 14:30:00,2011-03-15,2011,2011-03,6.56,False
536383,21730,GLASS STAR FROSTED T-LIGHT HOLDER,12,2011-03-11 17:57:00,6.36,14143,France,2011-03-11 17:57:00,2011-03-11,2011,2011-03,76.32000000000001,False
536384,22752,SET 7 BABUSHKA NESTING BOXES,24,2011-02-21 10:53:00,2.82,13391,Spain,2011-02-21 10:53:00,2011-02-21,2011,2011-02,67.67999999999999,False
536384,84879,ASSORTED COLOUR BIRD ORNAMENT,1,2011-01-11 18:27:00,3.88,16128,Germany,2011-01-11 18:27:00,2011-01-11,2011,2011-01,3.88,False
536384,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,2011-02-18 12:48:00,5.16,15799,France,2011-02-18 12:48:00,2011-02-18,2011,2011-02,15.48,False
536385,22632,HAND WARMER RED POLKA DOT,12,2011-01-29 18:04:00,6.45,17685,United Kingdom,2011-01-29 18:04:00,2011-01-29,2011,2011-01,77.4,False
536385,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,2011-01-20 11:08:00,3.54,13283,Spain,2011-01-20 11:08:00,2011-01-20,2011,2011-01,21.240000000000002,False
536385,84029E,RED WOOLLY HOTTIE WHITE HEART,2,2011-03-19 17:47:00,4.13,13687,France,2011-03-19 17:47:00,2011-03-19,2011,2011-03,8.26,False
536386,84029E,RED WOOLLY HOTTIE WHITE HEART,4,2011-02-20 11:04:00,2.29,17484,Germany,2011-02-20 11:04:00,2011-02-20,2011,2011-02,9.16,False
536386,84879,ASSORTED COLOUR BIRD ORNAMENT,24,2011-03-14 08:22:00,2.11,17765,France,2011-03-14 08:22:00,2011-03-14,2011,2011-03,50.64,False
536386,85123A,WHITE HANGING HEART T-LIGHT HOLDER,24,2011-03-04 09:27:00,6.13,17552,Netherlands,2011-03-04 09:27:00,2011-03-04,2011,2011-03,147.12,False
536387,22632,HAND WARMER RED POLKA DOT,3,2011-03-20 16:49:00,7.21,15914,Belgium,2011-03-20 16:49:00,2011-03-20,2011,2011-03,21.63,False
536387,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,2011-02-05 15:15:00,4.36,17014,Spain,2011-02-05 15:15:00,2011-02-05,2011,2011-02,4.36,False
536387,22633,HAND WARMER UNION JACK,2,2011-03-04 11:22:00,6.51,15134,France,2011-03-04 11:22:00,2011-03-04,2011,2011-03,13.02,False
536388,84029E,RED WOOLLY HOTTIE WHITE HEART,6,2011-01-25 09:15:00,5.22,16348,Spain,2011-01-25 09:15:00,2011-01-25,2011,2011-01,31.32,False
536388,22633,HAND WARMER UNION JACK,1,2011-01-12 12:14:00,3.21,14339,France,2011-01-12 12:14:00,2011-01-12,2011,2011-01,3.21,False
536388,22632,HAND WARMER RED POLKA DOT,4,2011-03-12 13:22:00,5.22,14565,France,2011-03-12 13:22:00,2011-03-12,2011,2011-03,20.88,False
536389,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,12,2011-03-10 10:12:00,7.58,16312,France,2011-03-10 10:12:00,2011-03-10,2011,2011-03,90.96000000000001,False
536389,22632,HAND WARMER RED POLKA DOT,1,2011-01-25 12:14:00,4.43,14822,United Kingdom,2011-01-25 12:14:00,2011-01-25,2011,2011-01,4.43,False
536389,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2011-02-07 10:40:00,7.63,16367,United Kingdom,2011-02-07 10:40:00,2011-02-07,2011,2011-02,45.78,False
536390,22633,HAND WARMER UNION JACK,3,2011-01-24 08:16:00,0.5,16259,United Kingdom,2011-01-24 08:16:00,2011-01-24,2011,2011-01,1.5,False
536390,71053,WHITE METAL LANTERN,12,2011-01-07 10:09:00,6.14,14835,United Kingdom,2011-01-07 10:09:00,2011-01-07,2011,2011-01,73.67999999999999,False
536390,21730,GLASS STAR FROSTED T-LIGHT HOLDER,24,2011-03-21 11:49:00,4.67,16036,Netherlands,2011-03-21 11:49:00,2011-03-21,2011,2011-03,112.08,False
536391,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2011-01-08 17:47:00,3.9,14048,Belgium,2011-01-08 17:47:00,2011-01-08,2011,2011-01,23.4,False
536391,84406B,CREAM CUPID HEARTS COAT HANGER,6,2011-01-10 10:00:00,4.68,17993,Spain,2011-01-10 10:00:00,2011-01-10,2011,2011-01,28.08,False
536391,84029E,RED WOOLLY HOTTIE WHITE HEART,12,2011-02-28 09:43:00,0.52,14513,Belgium,2011-02-28 09:43:00,2011-02-28,2011,2011-02,6.24,False
536392,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,2011-01-29 18:09:00,4.06,13511,United Kingdom,2011-01-29 18:09:00,2011-01-29,2011,2011-01,24.36,False
536392,84879,ASSORTED COLOUR BIRD ORNAMENT,6,2011-02-06 15:07:00,5.21,14837,Belgium,2011-02-06 15:07:00,2011-02-06,2011,2011-02,31.259999999999998,False
536392,22632,HAND WARMER RED POLKA DOT,1,2011-03-18 08:56:00,7.46,14986,Spain,2011-03-18 08:56:00,2011-03-18,2011,2011-03,7.46,False
536393,84879,ASSORTED COLOUR BIRD ORNAMENT,1,2011-03-28 12:36:00,3.46,GUEST,Spain,2011-03-28 12:36:00,2011-03-28,2011,2011-03,3.46,False
536393,84406B,CREAM CUPID HEARTS COAT HANGER,4,2011-03-23 15:05:00,2.88,15691,France,2011-03-23 15:05:00,2011-03-23,2011,2011-03,11.52,False
536393,84406B,CREAM CUPID HEARTS COAT HANGER,12,2011-03-05 12:42:00,3.5,16852,United Kingdom,2011-03-05 12:42:00,2011-03-05,2011,2011-03,42.0,False
536394,22752,SET 7 BABUSHKA NESTING BOXES,24,2011-02-21 16:52:00,6.33,17733,Spain,2011-02-21 16:52:00,2011-02-21,2011,2011-02,151.92000000000002,False
536394,22632,HAND WARMER RED POLKA DOT,24,2011-03-05 18:28:00,5.16,14013,France,2011-03-05 18:28:00,2011-03-05,2011,2011-03,123.84,False
536394,22633,HAND WARMER UNION JACK,4,2011-01-16 08:40:00,3.44,14306,Belgium,2011-01-16 08:40:00,2011-01-16,2011,2011-01,13.76,False
536395,22632,HAND WARMER RED POLKA DOT,2,2011-01-15 15:07:00,5.53,13607,Netherlands,2011-01-15 15:07:00,2011-01-15,2011,2011-01,11.06,False
536395,84029E,RED WOOLLY HOTTIE WHITE HEART,4,2011-03-02 11:29:00,4.69,15488,Germany,2011-03-02 11:29:00,2011-03-02,2011,2011-03,18.76,False
536395,84406B,CREAM CUPID HEARTS COAT HANGER,3,2011-02-23 13:59:00,6.44,14534,United Kingdom,2011-02-23 13:59:00,2011-02-23,2011,2011-02,19.32,False
536396,84879,ASSORTED COLOUR BIRD ORNAMENT,12,2011-03-04 10:28:00,3.1,15173,France,2011-03-04 10:28:00,2011-03-04,2011,2011-03,37.2,False
536396,22633,HAND WARMER UNION JACK,24,2011-01-25 11:36:00,3.84,15711,United Kingdom,2011-01-25 11:36:00,2011-01-25,2011,2011-01,92.16,False
536396,21730,GLASS STAR FROSTED T-LIGHT HOLDER,12,2011-03-25 10:31:00,3.72,13380,Spain,2011-03-25 10:31:00,2011-03-25,2011,2011-03,44.64,False
536397,71053,WHITE METAL LANTERN,4,2011-01-13 16:58:00,1.57,18264,Germany,2011-01-13 16:58:00,2011-01-13,2011,2011-01,6.28,False
536397,84406B,CREAM CUPID HEARTS COAT HANGER,6,2011-02-13 17:44:00,5.09,13003,France,2011-02-13 17:44:00,2011-02-13,2011,2011-02,30.54,False
536397,21730,GLASS STAR FROSTED T-LIGHT HOLDER,12,2011-03-04 16:02:00,5.02,14269,Belgium,2011-03-04 16:02:00,2011-03-04,2011,2011-03,60.239999999999995,False
536398,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,4,2011-01-13 18:45:00,4.51,15980,Germany,2011-01-13 18:45:00,2011-01-13,2011,2011-01,18.04,False
536398,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2011-02-07 13:23:00,4.03,14346,Spain,2011-02-07 13:23:00,2011-02-07,2011,2011-02,4.03,False
536398,84406B,CREAM CUPID HEARTS COAT HANGER,1,2011-03-20 14:39:00,1.67,16422,Spain,2011-03-20 14:39:00,2011-03-20,2011,2011-03,1.67,False
536399,84029E,RED WOOLLY HOTTIE WHITE HEART,12,2011-01-02 15:57:00,3.66,16823,Germany,2011-01-02 15:57:00,2011-01-02,2011,2011-01,43.92,False
536399,84879,ASSORTED COLOUR BIRD ORNAMENT,4,2011-03-30 12:29:00,3.81,13977,Netherlands,2011-03-30 12:29:00,2011-03-30,2011,2011-03,15.24,False
536399,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2011-02-07 12:01:00,2.9,17738,Netherlands,2011-02-07 12:01:00,2011-02-07,2011,2011-02,17.4,False
536400,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2011-03-05 12:49:00,4.18,17319,France,2011-03-05 12:49:00,2011-03-05,2011,2011-03,50.16,False
536400,84029E,RED WOOLLY HOTTIE WHITE HEART,12,2011-03-26 18:53:00,5.31,13141,Belgium,2011-03-26 18:53:00,2011-03-26,2011,2011-03,63.72,False
536400,22633,HAND WARMER UNION JACK,12,2011-01-17 09:58:00,8.27,15749,Germany,2011-01-17 09:58:00,2011-01-17,2011,2011-01,99.24,False
536401,22752,SET 7 BABUSHKA NESTING BOXES,3,2011-01-22 12:58:00,4.85,16293,France,2011-01-22 12:58:00,2011-01-22,2011,2011-01,14.549999999999999,False
536401,71053,WHITE METAL LANTERN,1,2011-01-19 11:55:00,5.02,17870,Netherlands,2011-01-19 11:55:00,2011-01-19,2011,2011-01,5.02,False
536401,22752,SET 7 BABUSHKA NESTING BOXES,4,2011-01-02 12:34:00,4.35,15365,Belgium,2011-01-02 12:34:00,2011-01-02,2011,2011-01,17.4,False
536402,21730,GLASS STAR FROSTED T-LIGHT HOLDER,3,2011-01-14 18:14:00,0.66,17421,Spain,2011-01-14 18:14:00,2011-01-14,2011,2011-01,1.98,False
536402,71053,WHITE METAL LANTERN,4,2011-03-31 12:41:00,4.45,13491,United Kingdom,2011-03-31 12:41:00,2011-03-31,2011,2011-03,17.8,False
536402,22633,HAND WARMER UNION JACK,2,2011-03-10 10:24:00,4.62,17838,Belgium,2011-03-10 10:24:00,2011-03-10,2011,2011-03,9.24,False
536403,84879,ASSORTED COLOUR BIRD ORNAMENT,2,2011-02-23 18:06:00,9.43,17389,Netherlands,2011-02-23 18:06:00,2011-02-23,2011,2011-02,18.86,False
536403,22752,SET 7 BABUSHKA NESTING BOXES,4,2011-01-31 13:06:00,4.12,15355,Spain,2011-01-31 13:06:00,2011-01-31,2011,2011-01,16.48,False
536403,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2011-01-16 15:05:00,5.1,17602,Belgium,2011-01-16 15:05:00,2011-01-16,2011,2011-01,10.2,False
536404,22752,SET 7 BABUSHKA NESTING BOXES,2,2011-03-14 11:04:00,4.43,16886,Germany,2011-03-14 11:04:00,2011-03-14,2011,2011-03,8.86,False
536404,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,2011-03-18 08:17:00,2.16,13531,Germany,2011-03-18 08:17:00,2011-03-18,2011,2011-03,4.32,False
536404,71053,WHITE METAL LANTERN,1,2011-01-17 08:22:00,6.79,14295,Spain,2011-01-17 08:22:00,2011-01-17,2011,2011-01,6.79,False
536405,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2011-03-09 09:47:00,6.0,16018,France,2011-03-09 09:47:00,2011-03-09,2011,2011-03,24.0,False
536405,22632,HAND WARMER RED POLKA DOT,6,2011-01-06 18:33:00,6.08,17616,United Kingdom,2011-01-06 18:33:00,2011-01-06,2011,2011-01,36.480000000000004,False
536405,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,2011-03-04 15:04:00,2.68,14984,Spain,2011-03-04 15:04:00,2011-03-04,2011,2011-03,2.68,False
536406,84879,ASSORTED COLOUR BIRD ORNAMENT,6,2011-02-11 14:38:00,7.31,16062,Spain,2011-02-11 14:38:00,2011-02-11,2011,2011-02,43.86,False
536406,71053,WHITE METAL LANTERN,12,2011-03-12 11:27:00,1.7,14217,Netherlands,2011-03-12 11:27:00,2011-03-12,2011,2011-03,20.4,False
536406,21730,GLASS STAR FROSTED T-LIGHT HOLDER,3,2011-02-24 13:42:00,5.67,13596,Belgium,2011-02-24 13:42:00,2011-02-24,2011,2011-02,17.009999999999998,False
536407,71053,WHITE METAL LANTERN,1,2011-02-17 10:35:00,8.88,GUEST,Belgium,2011-02-17 10:35:00,2011-02-17,2011,2011-02,8.88,False
536407,21730,GLASS STAR FROSTED T-LIGHT HOLDER,12,2011-01-07 12:38:00,2.52,13194,Spain,2011-01-07 12:38:00,2011-01-07,2011,2011-01,30.240000000000002,False
536407,22633,HAND WARMER UNION JACK,1,2011-02-14 16:23:00,3.37,14628,Spain,2011-02-14 16:23:00,2011-02-14,2011,2011-02,3.37,False
536408,22632,HAND WARMER RED POLKA DOT,24,2011-03-21 17:43:00,4.7,12561,Spain,2011-03-21 17:43:00,2011-03-21,2011,2011-03,112.80000000000001,False
536408,84029E,RED WOOLLY HOTTIE WHITE HEART,6,2011-03-31 12:58:00,3.49,12396,Germany,2011-03-31 12:58:00,2011-03-31,2011,2011-03,20.94,False
536408,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,2011-01-12 16:13:00,1.4,16062,France,2011-01-12 16:13:00,2011-01-12,2011,2011-01,1.4,False
536409,22752,SET 7 BABUSHKA NESTING BOXES,6,2011-03-18 09:56:00,4.64,13635,Belgium,2011-03-18 09:56:00,2011-03-18,2011,2011-03,27.839999999999996,False
536409,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,2011-02-23 12:13:00,2.38,13278,France,2011-02-23 12:13:00,2011-02-23,2011,2011-02,9.52,False
536409,84879,UNKNOWN_ITEM,12,2011-02-09 08:14:00,5.45,17255,United Kingdom,2011-02-09 08:14:00,2011-02-09,2011,2011-02,65.4,False
536410,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,24,2011-02-02 12:20:00,2.66,16420,Belgium,2011-02-02 12:20:00,2011-02-02,2011,2011-02,63.84,False
536410,71053,WHITE METAL LANTERN,6,2011-02-24 17:25:00,2.93,15767,France,2011-02-24 17:25:00,2011-02-24,2011,2011-02,17.580000000000002,False
536411,22752,SET 7 BABUSHKA NESTING BOXES,6,2011-02-28 13:05:00,3.86,13213,Germany,2011-02-28 13:05:00,2011-02-28,2011,2011-02,23.16,False
536411,71053,WHITE METAL LANTERN,3,2011-02-13 11:21:00,6.13,12971,Spain,2011-02-13 11:21:00,2011-02-13,2011,2011-02,18.39,False
536411,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,2011-02-14 18:52:00,2.04,13188,Germany,2011-02-14 18:52:00,2011-02-14,2011,2011-02,6.12,False
536412,84406B,CREAM CUPID HEARTS COAT HANGER,12,2011-01-10 10:49:00,4.95,16146,Spain,2011-01-10 10:49:00,2011-01-10,2011,2011-01,59.400000000000006,False
536412,84879,ASSORTED COLOUR BIRD ORNAMENT,6,2011-02-11 18:20:00,7.11,12905,Netherlands,2011-02-11 18:20:00,2011-02-11,2011,2011-02,42.660000000000004,False
536412,84029E,RED WOOLLY HOTTIE WHITE HEART,3,2011-03-06 09:19:00,1.29,12654,United Kingdom,2011-03-06 09:19:00,2011-03-06,2011,2011-03,3.87,False
536413,71053,WHITE METAL LANTERN,6,2011-02-19 15:37:00,4.87,12682,Netherlands,2011-02-19 15:37:00,2011-02-19,2011,2011-02,29.22,False
536413,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,4,2011-03-06 10:03:00,5.02,15159,Belgium,2011-03-06 10:03:00,2011-03-06,2011,2011-03,20.08,False
536413,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2011-02-26 16:33:00,6.06,15327,France,2011-02-26 16:33:00,2011-02-26,2011,2011-02,24.24,False
536414,22752,SET 7 BABUSHKA NESTING BOXES,1,2011-03-22 18:21:00,2.03,13120,Spain,2011-03-22 18:21:00,2011-03-22,2011,2011-03,2.03,False
536414,84879,ASSORTED COLOUR BIRD ORNAMENT,3,2011-01-11 17:42:00,1.86,15211,France,2011-01-11 17:42:00,2011-01-11,2011,2011-01,5.58,False
536414,21730,GLASS STAR FROSTED T-LIGHT HOLDER,12,2011-01-11 12:35:00,5.54,15036,Germany,2011-01-11 12:35:00,2011-01-11,2011,2011-01,66.48,False
536415,22632,HAND WARMER RED POLKA DOT,12,2011-02-24 16:23:00,5.09,14876,Germany,2011-02-24 16:23:00,2011-02-24,2011,2011-02,61.08,False
536415,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,2011-01-20 09:18:00,5.0,13174,Spain,2011-01-20 09:18:00,2011-01-20,2011,2011-01,10.0,False
536415,22632,HAND WARMER RED POLKA DOT,12,2011-03-21 10:38:00,5.19,13675,Germany,2011-03-21 10:38:00,2011-03-21,2011,2011-03,62.28,False
536416,84406B,CREAM CUPID HEARTS COAT HANGER,1,2011-02-22 13:43:00,3.14,15984,Spain,2011-02-22 13:43:00,2011-02-22,2011,2011-02,3.14,False
536416,22633,HAND WARMER UNION JACK,2,2011-02-09 15:57:00,4.96,15359,Belgium,2011-02-09 15:57:00,2011-02-09,2011,2011-02,9.92,False
536416,22633,HAND WARMER UNION JACK,24,2011-02-18 16:33:00,5.09,13673,Germany,2011-02-18 16:33:00,2011-02-18,2011,2011-02,122.16,False
536417,84029E,RED WOOLLY HOTTIE WHITE HEART,-1,2011-02-17 16:59:00,3.07,16572,United Kingdom,2011-02-17 16:59:00,2011-02-17,2011,2011-02,-3.07,True
536417,84029E,RED WOOLLY HOTTIE WHITE HEART,6,2011-01-19 14:05:00,8.23,14164,Netherlands,2011-01-19 14:05:00,2011-01-19,2011,2011-01,49.38,False
536417,21730,UNKNOWN_ITEM,-2,2011-02-17 11:24:00,5.45,15417,Germany,2011-02-17 11:24:00,2011-02-17,2011,2011-02,-10.9,True
536418,22752,SET 7 BABUSHKA NESTING BOXES,2,2011-01-05 12:58:00,2.12,18048,Germany,2011-01-05 12:58:00,2011-01-05,2011,2011-01,4.24,False
