customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,label,is_new_customer,monthly_charge_band,avg_monthly_spend_gap
7590-0440,Female,0,Yes,No,43,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),64.64,2803.97,No,0,0,Medium,24.449999999999818
7590-0450,Male,0,Yes,Yes,62,No,No phone service,Fiber optic,No,Yes,No,No,No,No,One year,No,Electronic check,79.75,4955.61,No,0,0,High,11.109999999999673
7590-0420,Male,0,No,Yes,30,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Electronic check,79.21,2335.97,No,0,0,High,-40.32999999999993
7590-0558,Female,0,Yes,Yes,69,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.89,1267.75,No,0,0,Low,-35.66000000000008
7590-0163,Male,0,No,Yes,3,No,No phone service,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),77.47,213.25,Yes,1,1,High,-19.159999999999997
7590-0494,Male,0,No,Yes,72,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),31.43,2204.36,No,0,0,Low,-58.59999999999991
7590-0065,Female,0,No,No,21,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),71.76,1526.23,No,0,0,High,19.269999999999982
7590-0346,Female,1,No,Yes,4,No,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),52.41,210.24,No,0,1,Medium,0.6000000000000227
7590-0049,Male,0,No,Yes,18,No,No phone service,DSL,No,No,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),54.08,999.34,No,0,0,Medium,25.90000000000009
7590-0411,Male,0,No,Yes,7,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),63.5,435.35,No,0,0,Medium,-9.149999999999977
7590-0218,Female,0,No,Yes,9,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Two year,No,Electronic check,70.39,636.05,No,0,0,High,2.5399999999999636
7590-0039,Male,1,No,Yes,55,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),56.08,3076.66,No,0,0,Medium,-7.7400000000002365
7590-0204,Male,0,No,Yes,2,No,No phone service,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),58.6,99.81,No,0,1,Medium,-17.39
7590-0322,Male,0,Yes,No,38,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),18.0,677.42,No,0,0,Low,-6.580000000000041
7590-0006,Male,0,No,Yes,4,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,79.94,359.63,No,0,1,High,39.870000000000005
7590-0589,Male,1,No,Yes,6,No,No phone service,DSL,Yes,No,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),69.68,423.4,No,0,1,Medium,5.319999999999936
7590-0529,Male,0,No,Yes,21,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Two year,No,Bank transfer (automatic),76.51,1584.1,No,0,0,High,-22.610000000000127
7590-0608,Female,0,Yes,No,56,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),28.98,1603.59,Yes,1,0,Low,-19.29000000000019
7590-0421,Male,0,Yes,Yes,32,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),79.71,2563.97,Yes,1,0,High,13.25
7590-0571,Male,1,No,No,57,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.0,1046.65,No,0,0,Low,20.65000000000009
7590-0312,Male,0,Yes,Yes,30,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,Two year,No,Mailed check,70.96,2148.83,No,0,0,High,20.0300000000002
7590-0404,Male,0,Yes,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),30.1,2038.71,Yes,1,0,Low,-38.190000000000055
7590-0086,Female,0,No,No,56,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,22.91,,No,0,0,Low,-1260.05
7590-0257,Male,0,No,Yes,25,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),74.56,1868.83,No,0,0,High,4.829999999999927
7590-0265,Female,0,No,Yes,12,No,No phone service,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,90.22,1078.36,Yes,1,0,High,-4.279999999999973
7590-0603,Female,0,No,Yes,28,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,67.95,1912.86,No,0,0,Medium,10.259999999999764
7590-0109,Female,0,Yes,No,15,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.0,295.6,No,0,0,Low,25.600000000000023
7590-0148,Male,0,Yes,Yes,18,No,No phone service,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,70.82,1301.72,Yes,1,0,High,26.960000000000264
7590-0041,Female,0,Yes,No,25,No,No phone service,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,77.41,1934.24,No,0,0,High,-1.009999999999991
7590-0350,Male,0,No,Yes,70,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),79.64,5593.03,No,0,0,High,18.229999999999563
7590-0448,Male,0,No,No,31,No,No phone service,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,57.07,1786.06,No,0,0,Medium,16.889999999999873
7590-0056,Female,1,Yes,No,18,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,73.2,1309.38,Yes,1,0,High,-8.220000000000027
7590-0646,Female,1,No,No,29,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,No,Mailed check,58.24,1719.94,No,0,0,Medium,30.980000000000018
7590-0344,Female,0,No,Yes,8,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Two year,No,Credit card (automatic),47.51,363.63,No,0,0,Medium,-16.44999999999999
7590-0268,Female,0,Yes,Yes,40,No,No phone service,DSL,No,Yes,No,Yes,No,Yes,Two year,Yes,Mailed check,49.88,1973.27,No,0,0,Medium,-21.930000000000064
7590-0145,Female,0,No,No,53,No,No phone service,DSL,Yes,Yes,No,No,No,No,Two year,Yes,Electronic check,50.26,2639.53,No,0,0,Medium,-24.249999999999545
7590-0535,Male,0,Yes,Yes,67,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,76.45,5120.13,Yes,1,0,High,-2.0200000000004366
7590-0108,Female,0,No,Yes,32,No,No phone service,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),59.65,1950.61,Yes,1,0,Medium,41.809999999999945
7590-0024,Female,0,No,Yes,4,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.96,98.45,Yes,1,1,Low,14.61
7590-0118,Male,0,Yes,Yes,54,No,No phone service,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,68.9,3751.06,No,0,0,Medium,30.45999999999958
7590-0133,Female,1,No,Yes,23,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,No,One year,No,Bank transfer (automatic),80.82,1881.38,Yes,1,0,High,22.52000000000021
7590-0319,Male,0,Yes,Yes,26,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,No,Credit card (automatic),99.56,2597.88,No,0,0,High,9.320000000000164
7590-0631,Female,0,Yes,Yes,5,No,No phone service,Fiber optic,No,Yes,No,No,No,No,One year,No,Credit card (automatic),63.62,325.71,No,0,1,Medium,7.610000000000014
7590-0082,Female,0,No,Yes,38,No,No phone service,DSL,No,No,Yes,No,No,Yes,One year,No,Credit card (automatic),63.0,2403.54,No,0,0,Medium,9.539999999999964
7590-0480,Female,0,Yes,Yes,14,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),22.79,294.67,No,0,0,Low,-24.389999999999986
7590-0167,Male,0,No,Yes,20,No,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),95.36,1904.42,No,0,0,High,-2.7799999999999727
7590-0077,Male,1,Yes,Yes,45,No,No phone service,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Mailed check,69.29,3068.94,No,0,0,Medium,-49.11000000000013
7590-0521,Male,0,Yes,Yes,26,No,No phone service,DSL,Yes,No,No,Yes,No,No,One year,No,Credit card (automatic),49.36,1311.68,No,0,0,Medium,28.320000000000164
7590-0070,Male,0,No,Yes,13,No,No phone service,DSL,Yes,No,No,Yes,No,No,One year,Yes,Electronic check,57.65,742.18,No,0,0,Medium,-7.269999999999982
7590-0393,Female,0,No,Yes,53,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),65.29,3465.21,No,0,0,Medium,4.839999999999691
7590-0331,Male,1,No,Yes,39,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,73.97,2838.34,No,0,0,High,-46.48999999999978
7590-0353,Male,0,Yes,Yes,14,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),22.48,343.73,No,0,0,Low,29.00999999999999
7590-0132,Male,0,Yes,Yes,9,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,52.41,488.86,No,0,0,Medium,17.170000000000073
7590-0060,Male,0,Yes,No,17,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.36,320.13,No,0,0,Low,-8.990000000000009
7590-0212,Female,1,No,Yes,54,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,No,Electronic check,87.37,4689.92,No,0,0,High,-28.0600000000004
7590-0579,Female,0,Yes,No,15,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),71.16,1034.75,Yes,1,0,High,-32.649999999999864
7590-0334,Male,0,Yes,Yes,17,No,No phone service,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),84.8,1425.23,No,0,0,High,-16.36999999999989
7590-0340,Male,0,No,Yes,71,No,No phone service,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,64.03,4512.51,No,0,0,Medium,-33.61999999999989
7590-0619,Female,0,No,Yes,50,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,63.32,3171.76,Yes,1,0,Medium,5.760000000000218
7590-0135,Male,0,No,Yes,24,No,No phone service,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,81.22,1922.1,No,0,0,High,-27.180000000000064
7590-0215,Female,0,No,Yes,49,No,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,51.94,2560.41,No,0,0,Medium,15.349999999999909
7590-0515,Male,0,No,Yes,38,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),75.75,2927.71,Yes,1,0,High,49.210000000000036
7590-0375,Female,0,Yes,No,27,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),51.76,1371.82,No,0,0,Medium,-25.700000000000045
7590-0369,Female,1,Yes,Yes,58,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,23.1,1319.15,No,0,0,Low,-20.65000000000009
7590-0244,Female,0,No,Yes,70,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Bank transfer (automatic),76.74,5358.84,No,0,0,High,-12.959999999999127
7590-0602,Male,0,No,Yes,15,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),43.51,664.61,No,0,0,Medium,11.960000000000036
7590-0333,Male,0,No,Yes,2,No,No phone service,Fiber optic,No,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),56.5,,No,0,1,Medium,-56.5
7590-0029,Male,0,Yes,Yes,38,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,59.99,2267.8,No,0,0,Medium,-11.819999999999709
7590-0553,Female,1,Yes,Yes,59,No,No phone service,DSL,Yes,No,Yes,No,No,No,Two year,Yes,Mailed check,49.04,2887.02,No,0,0,Medium,-6.3400000000001455
7590-0286,Male,1,No,No,23,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,73.98,1706.23,Yes,1,0,High,4.689999999999827
7590-0425,Male,1,No,Yes,18,No,No phone service,DSL,No,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),37.56,670.93,No,0,0,Medium,-5.150000000000091
7590-0291,Male,1,No,No,27,No,No phone service,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,61.35,1643.28,Yes,1,0,Medium,-13.170000000000073
7590-0380,Female,0,Yes,No,53,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,26.32,1377.28,No,0,0,Low,-17.680000000000064
7590-0581,Male,0,No,No,40,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,32.8,1266.64,No,0,0,Low,-45.3599999999999
7590-0430,Male,0,No,No,17,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.0,289.1,Yes,1,0,Low,-16.899999999999977
7590-0208,Male,0,No,Yes,68,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),36.24,2446.93,No,0,0,Medium,-17.390000000000327
7590-0290,Male,0,No,Yes,47,No,No phone service,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),54.66,2535.28,No,0,0,Medium,-33.73999999999978
7590-0320,Male,0,No,No,13,No,No phone service,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,64.1,856.02,Yes,1,0,Medium,22.720000000000027
7590-0332,Female,0,Yes,No,66,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.63,1674.31,No,0,0,Low,-17.269999999999982
7590-0192,Female,0,Yes,No,16,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.0,263.08,No,0,0,Low,-24.920000000000016
7590-0609,Female,0,No,Yes,19,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),42.92,829.34,No,0,0,Medium,13.860000000000014
