customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-0015,Male,0,No,No,25,No,No phone service,DSL,No,Yes,No,No,No,No,One year,No,Electronic check,42.26,1073.90,No
7590-0016,Female,1,Yes,Yes,20,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),68.14,1372.66,Yes
7590-0017,Male,1,Yes,Yes,47,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),86.7,4085.34,No
7590-0018,Female,0,Yes,No,69,No,No phone service,DSL,No,No,No,No,No,Yes,One year,Yes,Mailed check,49.38,3424.48,No
7590-0019,Female,0,No,Yes,23,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),18.0,402.53,No
7590-0020,Male,0,Yes,Yes,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),19.68,169.83,Yes
7590-0021,Male,1,Yes,Yes,19,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.0,318.61,Yes
7590-0022,Female,0,Yes,No,21,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,71.49,1470.33,Yes
7590-0023,Female,0,Yes,Yes,13,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.0,237.45,No
7590-0024,Female,0,No,Yes,4,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.96,98.45,Yes
7590-0025,Male,0,No,Yes,14,No,No phone service,Fiber optic,No,Yes,No,Yes,No,No,One year,No,Credit card (automatic),71.43,1003.97,Yes
7590-0026,Male,0,Yes,Yes,51,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,63.71,3294.72,No
7590-0027,Female,1,Yes,Yes,63,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),80.56,5084.34,No
7590-0028,Male,1,No,Yes,17,No,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,63.82, ,Yes
7590-0029,Male,0,Yes,Yes,38,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,59.99,2267.80,No
7590-0030,Female,0,No,Yes,47,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,58.26,2733.90,No
7590-0031,Male,0,No,Yes,70,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.0,1257.25,No
7590-0032,Female,1,No,Yes,58,No,No phone service,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),58.87,3400.05,No
7590-0033,Female,0,No,Yes,34,No,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),70.08,2360.58,No
7590-0034,Female,0,Yes,No,43,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.0,788.81,No
7590-0035,Male,0,No,Yes,30,No,No phone service,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),73.03,2190.85,No
7590-0036,Female,0,No,Yes,50,No,No phone service,DSL,No,Yes,No,No,No,Yes,One year,Yes,Electronic check,59.57,2957.66,No
7590-0037,Male,0,No,Yes,38,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.0, ,No
7590-0038,Female,1,No,Yes,68,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),78.34,5327.78,No
7590-0039,Male,1,No,Yes,55,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),56.08,3076.66,No
7590-0040,Female,0,Yes,Yes,6,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,74.24,437.03,Yes
7590-0041,Female,0,Yes,No,25,No,No phone service,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,77.41,1934.24,No
7590-0042,Male,0,Yes,Yes,29,No,No phone service,DSL,No,No,No,No,Yes,Yes,One year,Yes,Mailed check,51.6,1474.35,No
7590-0043,Male,0,Yes,Yes,28,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),72.89,2093.41,Yes
7590-0044,Male,0,No,Yes,34,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,55.55,1899.51,No
7590-0045,Male,0,No,No,5,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,52.13,264.57,No
7590-0046,Female,0,Yes,No,52,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),57.02,2998.17,No
7590-0047,Male,0,Yes,Yes,10,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Electronic check,72.06,724.07,No
7590-0048,Male,0,Yes,Yes,32,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),65.87,2157.61,No
7590-0049,Male,0,No,Yes,18,No,No phone service,DSL,No,No,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),54.08,999.34,No
7590-0050,Female,0,Yes,Yes,34,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),78.44,2707.85,Yes
7590-0051,Female,0,No,Yes,45,No,No phone service,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,76.61,3435.50,No
7590-0052,Female,0,No,Yes,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),39.07,1986.63,No
7590-0053,Female,1,No,Yes,54,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),18.0,990.15,No
7590-0054,Male,0,Yes,No,22,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,23.85,538.16,No
7590-0055,Female,0,No,Yes,70,No,No phone service,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),61.79,4277.64,No
7590-0056,Female,1,Yes,No,18,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,73.2,1309.38,Yes
7590-0057,Male,0,Yes,No,30,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),31.94,1009.56,Yes
7590-0058,Female,0,Yes,Yes,50,No,No phone service,DSL,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,53.41,2664.24,No
7590-0059,Male,1,No,No,17,No,No phone service,DSL,Yes,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),66.55,1137.90,No
7590-0060,Male,0,Yes,No,17,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.36,320.13,No
7590-0061,Male,0,No,Yes,70,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),62.71,4425.51,No
7590-0062,Male,0,No,Yes,28,No,No phone service,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),62.43,1718.62,No
7590-0063,Female,0,Yes,No,29,No,No phone service,DSL,No,No,Yes,No,Yes,No,Two year,No,Electronic check,49.87,1442.46,No
7590-0064,Female,0,Yes,Yes,4,No,No phone service,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),69.9,265.18,No
7590-0065,Female,0,No,No,21,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),71.76,1526.23,No
7590-0066,Male,0,No,Yes,69,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),88.87,6140.68,No
7590-0067,Female,1,Yes,Yes,38,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,66.82,2504.77,Yes
7590-0068,Male,0,Yes,No,56,No,No phone service,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,66.32,3721.14,Yes
7590-0069,Male,0,Yes,Yes,13,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),47.12,603.17,Yes
7590-0070,Male,0,No,Yes,13,No,No phone service,DSL,Yes,No,No,Yes,No,No,One year,Yes,Electronic check,57.65,742.18,No
7590-0071,Female,0,Yes,Yes,21,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),66.46,1399.58,Yes
7590-0072,Female,0,Yes,Yes,17,No,No phone service,Fiber optic,Yes,No,No,No,No,No,One year,No,Mailed check,63.38,1052.09,Yes
7590-0073,Female,1,Yes,Yes,8,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,Yes,Credit card (automatic),48.81,401.18,No
7590-0074,Male,0,Yes,No,0,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),48.16, ,No
7590-0075,Male,0,No,Yes,12,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,61.65,729.32,Yes
7590-0076,Female,0,No,No,33,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),18.0,578.51,No
7590-0077,Male,1,Yes,Yes,45,No,No phone service,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Mailed check,69.29,3068.94,No
7590-0078,Female,0,Yes,Yes,69,No,No phone service,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),69.23,4745.52,No
7590-0079,Female,0,No,Yes,40,No,No phone service,DSL,No,No,Yes,Yes,Yes,No,Two year,No,Electronic check,76.51,3054.69,No
7590-0080,Female,1,No,Yes,41,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,52.04,2164.00,Yes
7590-0081,Male,0,No,Yes,51,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.56,1013.39,Yes
7590-0082,Female,0,No,Yes,38,No,No phone service,DSL,No,No,Yes,No,No,Yes,One year,No,Credit card (automatic),63.0,2403.54,No
7590-0083,Male,1,Yes,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,25.96,145.23,No
7590-0084,Male,1,No,No,22,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,71.63,1541.31,No
7590-0085,Female,1,Yes,Yes,15,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.0,282.23,No
7590-0086,Female,0,No,No,56,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,22.91, ,No
7590-0087,Female,0,Yes,No,1,No,No phone service,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),62.51, ,Yes
7590-0088,Female,0,Yes,Yes,11,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),22.81,212.21,Yes
7590-0089,Male,1,Yes,Yes,13,No,No phone service,Fiber optic,No,No,No,No,No,Yes,One year,No,Electronic check,79.74,1042.38,Yes
7590-0090,Male,0,Yes,Yes,71,No,No phone service,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,86.3, ,No
7590-0091,Female,0,Yes,Yes,51,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,98.79,5033.83,No
7590-0092,Male,0,Yes,Yes,51,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,One year,No,Bank transfer (automatic),45.32,2309.22,No
7590-0093,Male,0,No,No,56,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.0,1060.70,Yes
7590-0094,Male,0,No,No,31,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),61.1,1863.55,No
7590-0095,Male,0,No,Yes,12,No,No phone service,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,51.22,565.04,Yes
7590-0096,Male,0,Yes,Yes,26,No,No phone service,Fiber optic,Yes,No,No,Yes,No,No,Two year,No,Mailed check,62.0,1593.55,No
7590-0097,Female,0,Yes,Yes,39,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),67.38,2648.77,Yes
7590-0098,Male,0,Yes,No,2,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,35.77,74.93,Yes
7590-0099,Female,1,No,Yes,35,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),25.98,895.60,No
7590-0100,Female,0,Yes,Yes,46,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),73.21,3370.42,No
7590-0101,Female,1,No,Yes,5,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,Yes,Mailed check,80.54,385.79,No
7590-0102,Female,0,Yes,Yes,63,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,71.42,4508.56,No
7590-0103,Male,0,Yes,Yes,51,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,61.45,3145.03,No
7590-0104,Male,0,Yes,No,44,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),58.13,2562.21,No
7590-0105,Female,0,Yes,Yes,6,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,66.98,435.93,Yes
7590-0106,Female,0,No,Yes,49,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,47.71,2282.52,No
7590-0107,Male,1,Yes,Yes,63,No,No phone service,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),70.49,4446.31,Yes
7590-0108,Female,0,No,Yes,32,No,No phone service,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),59.65,1950.61,Yes
7590-0109,Female,0,Yes,No,15,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.0,295.60,No
7590-0110,Male,0,No,Yes,40,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Credit card (automatic),67.75,2687.66,No
7590-0111,Female,1,Yes,Yes,71,No,No phone service,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),54.71,3880.60,No
7590-0112,Male,0,Yes,No,15,No,No phone service,DSL,No,No,No,No,Yes,Yes,One year,Yes,Electronic check,61.13,933.86,No
7590-0113,Female,0,Yes,Yes,69,No,No phone service,DSL,No,No,Yes,No,No,No,One year,No,Electronic check,34.31,2373.57,No
7590-0114,Male,0,No,Yes,11,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),29.79,349.49,No
7590-0115,Male,0,No,Yes,18,No,No phone service,DSL,Yes,No,No,No,No,No,One year,Yes,Electronic check,51.66,937.54,No
7590-0116,Female,0,Yes,No,39,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),56.68,2209.69,Yes
7590-0117,Male,1,No,Yes,11,No,No phone service,Fiber optic,No,No,No,No,No,No,One year,No,Bank transfer (automatic),53.46,590.97,No
7590-0118,Male,0,Yes,Yes,54,No,No phone service,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,68.9,3751.06,No
7590-0119,Female,0,No,No,72,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),38.96,2810.17,No
7590-0120,Male,0,No,Yes,29,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,No,Credit card (automatic),86.41,2537.90,Yes
7590-0121,Male,0,No,No,8,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),75.93,613.58,Yes
7590-0122,Female,0,No,Yes,67,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),53.0,3498.76,Yes
7590-0123,Female,1,Yes,Yes,37,No,No phone service,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),67.68,2497.84,No
7590-0124,Male,0,Yes,Yes,70,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),79.54,5571.72,Yes
7590-0125,Male,1,No,Yes,23,No,No phone service,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,51.23,1162.50,No
7590-0126,Female,0,Yes,Yes,38,No,No phone service,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),76.77,2926.32,No
7590-0127,Female,1,No,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),24.68, ,No
7590-0128,Male,0,No,Yes,65,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,77.42,5044.66,Yes
7590-0129,Male,0,No,Yes,21,No,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,50.96,1040.24,No
7590-0130,Male,0,No,Yes,14,No,No phone service,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),70.44,1027.04,No
7590-0131,Male,0,Yes,Yes,70,No,No phone service,DSL,Yes,No,Yes,No,No,No,One year,Yes,Credit card (automatic),43.66,3035.20,No
7590-0132,Male,0,Yes,Yes,9,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,52.41,488.86,No
7590-0133,Female,1,No,Yes,23,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,No,One year,No,Bank transfer (automatic),80.82,1881.38,Yes
7590-0134,Male,0,No,Yes,9,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),21.3,171.69,No
7590-0135,Male,0,No,Yes,24,No,No phone service,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,81.22,1922.10,No
7590-0136,Male,0,Yes,No,2,No,No phone service,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),62.84,147.62,No
7590-0137,Female,0,Yes,No,32,No,No phone service,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),94.52,3045.20,No
7590-0138,Male,0,No,Yes,48,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),78.17,3759.67,No
7590-0139,Female,0,No,Yes,5,No,No phone service,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,54.83,286.88,No
7590-0140,Female,0,Yes,No,21,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,58.91,1224.53,Yes
7590-0141,Male,0,No,Yes,51,No,No phone service,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,55.82,2841.09,Yes
7590-0142,Male,0,No,Yes,50,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Two year,No,Mailed check,62.53,3118.34,No
7590-0143,Female,0,No,Yes,56,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,66.66,3757.21,Yes
7590-0144,Female,0,Yes,Yes,10,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),49.55,507.88,Yes
7590-0145,Female,0,No,No,53,No,No phone service,DSL,Yes,Yes,No,No,No,No,Two year,Yes,Electronic check,50.26,2639.53,No
7590-0146,Female,0,Yes,Yes,55,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,76.01,4174.10,No
7590-0147,Female,0,No,Yes,57,No,No phone service,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,43.98,2518.08,Yes
7590-0148,Male,0,Yes,Yes,18,No,No phone service,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,70.82,1301.72,Yes
7590-0149,Male,1,No,Yes,46,No,No phone service,Fiber optic,No,No,No,No,No,No,One year,No,Credit card (automatic),50.38,2312.54,Yes
7590-0150,Male,0,Yes,Yes,36,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),60.57,2179.04,No
7590-0151,Male,0,No,Yes,32,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,61.18,1958.88,No
7590-0152,Female,0,Yes,Yes,37,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,33.58,1236.30,No
7590-0153,Male,0,Yes,Yes,38,No,No phone service,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),74.13,2834.12,No
7590-0154,Male,0,No,No,41,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.0,766.13,Yes
7590-0155,Male,0,Yes,No,59,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.0,1096.71,No
7590-0156,Male,1,Yes,No,4,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),73.46,277.52,No
7590-0157,Male,0,No,Yes,6,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),64.36,426.16,No
7590-0158,Male,0,Yes,Yes,54,No,No phone service,DSL,No,Yes,No,No,Yes,No,Two year,No,Credit card (automatic),56.49,3069.88,No
7590-0159,Male,0,Yes,No,39,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.0,696.48,No
7590-0160,Male,0,No,No,58,No,No phone service,DSL,Yes,No,No,No,No,No,One year,Yes,Electronic check,31.87,1845.43,No
7590-0161,Male,0,No,Yes,7,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,59.94,444.60,No
7590-0162,Female,0,No,Yes,37,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),79.37,2906.43,No
7590-0163,Male,0,No,Yes,3,No,No phone service,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),77.47,213.25,Yes
7590-0164,Male,0,No,No,68,No,No phone service,DSL,Yes,No,No,No,Yes,No,One year,Yes,Mailed check,62.83,4271.96,No
7590-0165,Female,0,No,Yes,19,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),41.87,796.52,No
7590-0166,Female,0,Yes,Yes,21,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,66.23,1334.70,No
7590-0167,Male,0,No,Yes,20,No,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),95.36,1904.42,No
7590-0168,Male,0,Yes,No,9,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,No,Credit card (automatic),70.88,681.10,No
7590-0169,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,71.26,28.12,No
7590-0170,Male,0,No,No,47,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),23.62,1118.92,No
7590-0171,Female,0,Yes,Yes,11,No,No phone service,Fiber optic,Yes,No,No,Yes,No,No,Two year,No,Electronic check,66.16,702.84,No
7590-0172,Female,0,Yes,No,51,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,57.25,2958.74,Yes
7590-0173,Male,0,Yes,Yes,20,No,No phone service,DSL,No,Yes,Yes,Yes,No,No,One year,No,Electronic check,52.7,1043.83,No
7590-0174,Male,0,No,Yes,34,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,40.62,1378.66,No
