InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,InvoiceDateParsed
536373,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,02/28/2011 12:27,3.41,16898.0,Belgium,2011-02-28 12:27:00
536373,84029E,RED WOOLLY HOTTIE WHITE HEART,1,03/16/2011 16:03,4.72,12814.0,United Kingdom,2011-03-16 16:03:00
536374,22632,HAND WARMER RED POLKA DOT,6,01/11/2011 10:04,2.2,17877.0,Germany,2011-01-11 10:04:00
536374,84879,ASSORTED COLOUR BIRD ORNAMENT,6,01/06/2011 17:05,5.25,17127.0,Spain,2011-01-06 17:05:00
536374,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,01/31/2011 12:25,3.3,17633.0,France,2011-01-31 12:25:00
536375,71053,WHITE METAL LANTERN,2,01/10/2011 16:13,3.92,13431.0,France,2011-01-10 16:13:00
536375,22752,UNKNOWN_ITEM,4,03/11/2011 12:39,3.3,17703.0,Spain,2011-03-11 12:39:00
536375,84029E,RED WOOLLY HOTTIE WHITE HEART,1,01/18/2011 12:07,8.2,16878.0,Germany,2011-01-18 12:07:00
536376,22752,SET 7 BABUSHKA NESTING BOXES,12,02/03/2011 16:31,4.47,12762.0,United Kingdom,2011-02-03 16:31:00
536376,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,03/23/2011 12:10,-2.38,16865.0,Belgium,2011-03-23 12:10:00
536376,71053,WHITE METAL LANTERN,12,01/20/2011 16:02,6.15,17117.0,Spain,2011-01-20 16:02:00
536377,84029E,RED WOOLLY HOTTIE WHITE HEART,24,01/06/2011 13:13,2.06,17809.0,United Kingdom,2011-01-06 13:13:00
536377,21730,UNKNOWN_ITEM,12,01/20/2011 11:55,4.92,13796.0,Netherlands,2011-01-20 11:55:00
536377,22752,SET 7 BABUSHKA NESTING BOXES,4,03/27/2011 11:17,0.58,18090.0,United Kingdom,2011-03-27 11:17:00
536378,22633,UNKNOWN_ITEM,24,02/28/2011 13:19,1.84,14210.0,Germany,2011-02-28 13:19:00
536378,22752,SET 7 BABUSHKA NESTING BOXES,1,02/05/2011 13:41,4.89,17912.0,Spain,2011-02-05 13:41:00
536378,84029E,RED WOOLLY HOTTIE WHITE HEART,3,01/05/2011 09:38,5.98,14915.0,Netherlands,2011-01-05 09:38:00
536379,21730,GLASS STAR FROSTED T-LIGHT HOLDER,2,02/02/2011 08:45,4.84,16605.0,Spain,2011-02-02 08:45:00
536379,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,03/27/2011 13:39,4.27,13366.0,Belgium,2011-03-27 13:39:00
536379,21730,GLASS STAR FROSTED T-LIGHT HOLDER,12,02/07/2011 16:08,3.9,17793.0,Netherlands,2011-02-07 16:08:00
536380,84879,ASSORTED COLOUR BIRD ORNAMENT,4,03/12/2011 08:19,1.54,15867.0,Spain,2011-03-12 08:19:00
536380,22633,HAND WARMER UNION JACK,2,03/07/2011 15:50,3.06,13736.0,Belgium,2011-03-07 15:50:00
536380,84879,UNKNOWN_ITEM,24,01/31/2011 18:19,3.58,13977.0,Germany,2011-01-31 18:19:00
536381,22633,HAND WARMER UNION JACK,24,01/10/2011 15:26,6.61,17061.0,Germany,2011-01-10 15:26:00
536381,21730,GLASS STAR FROSTED T-LIGHT HOLDER,12,03/30/2011 08:57,5.19,13219.0,Netherlands,2011-03-30 08:57:00
536381,22632,HAND WARMER RED POLKA DOT,6,02/01/2011 09:29,0.97,16152.0,Belgium,2011-02-01 09:29:00
536382,22752,SET 7 BABUSHKA NESTING BOXES,4,03/20/2011 16:27,5.15,16834.0,Netherlands,2011-03-20 16:27:00
536382,22633,HAND WARMER UNION JACK,24,02/01/2011 18:17,3.73,16616.0,Netherlands,2011-02-01 18:17:00
536382,71053,WHITE METAL LANTERN,2,02/04/2011 13:20,3.15,13006.0,Germany,2011-02-04 13:20:00
536383,84406B,CREAM CUPID HEARTS COAT HANGER,1,02/23/2011 14:21,5.72,15752.0,United Kingdom,2011-02-23 14:21:00
536383,84879,ASSORTED COLOUR BIRD ORNAMENT,1,03/15/2011 14:30,6.56,GUEST,Netherlands,2011-03-15 14:30:00
536383,21730,GLASS STAR FROSTED T-LIGHT HOLDER,12,03/11/2011 17:57,6.36,14143.0,France,2011-03-11 17:57:00
536384,22752,SET 7 BABUSHKA NESTING BOXES,24,02/21/2011 10:53,2.82,13391.0,Spain,2011-02-21 10:53:00
536384,84879,ASSORTED COLOUR BIRD ORNAMENT,1,01/11/2011 18:27,3.88,16128.0,Germany,2011-01-11 18:27:00
536384,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,02/18/2011 12:48,5.16,15799.0,France,2011-02-18 12:48:00
536385,22632,HAND WARMER RED POLKA DOT,12,01/29/2011 18:04,6.45,17685.0,United Kingdom,2011-01-29 18:04:00
536385,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,01/20/2011 11:08,3.54,13283.0,Spain,2011-01-20 11:08:00
536385,84029E,RED WOOLLY HOTTIE WHITE HEART,2,03/19/2011 17:47,4.13,13687.0,France,2011-03-19 17:47:00
536386,84029E,RED WOOLLY HOTTIE WHITE HEART,4,02/20/2011 11:04,2.29,17484.0,Germany,2011-02-20 11:04:00
536386,84879,ASSORTED COLOUR BIRD ORNAMENT,24,03/14/2011 08:22,2.11,17765.0,France,2011-03-14 08:22:00
536386,85123A,WHITE HANGING HEART T-LIGHT HOLDER,24,03/04/2011 09:27,6.13,17552.0,Netherlands,2011-03-04 09:27:00
536387,22632,HAND WARMER RED POLKA DOT,3,03/20/2011 16:49,7.21,15914.0,Belgium,2011-03-20 16:49:00
536387,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,02/05/2011 15:15,4.36,17014.0,Spain,2011-02-05 15:15:00
536387,22633,HAND WARMER UNION JACK,2,03/04/2011 11:22,6.51,15134.0,France,2011-03-04 11:22:00
536388,84029E,RED WOOLLY HOTTIE WHITE HEART,6,01/25/2011 09:15,5.22,16348.0,Spain,2011-01-25 09:15:00
536388,22633,HAND WARMER UNION JACK,1,01/12/2011 12:14,3.21,14339.0,France,2011-01-12 12:14:00
536388,22632,HAND WARMER RED POLKA DOT,4,03/12/2011 13:22,5.22,14565.0,France,2011-03-12 13:22:00
536389,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,12,03/10/2011 10:12,7.58,16312.0,France,2011-03-10 10:12:00
536389,22632,HAND WARMER RED POLKA DOT,1,01/25/2011 12:14,4.43,14822.0,United Kingdom,2011-01-25 12:14:00
536389,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,02/07/2011 10:40,7.63,16367.0,United Kingdom,2011-02-07 10:40:00
536390,22633,HAND WARMER UNION JACK,3,01/24/2011 08:16,0.5,16259.0,United Kingdom,2011-01-24 08:16:00
536390,71053,WHITE METAL LANTERN,12,01/07/2011 10:09,6.14,14835.0,United Kingdom,2011-01-07 10:09:00
536390,21730,GLASS STAR FROSTED T-LIGHT HOLDER,24,03/21/2011 11:49,4.67,16036.0,Netherlands,2011-03-21 11:49:00
536391,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,01/08/2011 17:47,3.9,14048.0,Belgium,2011-01-08 17:47:00
536391,84406B,CREAM CUPID HEARTS COAT HANGER,6,01/10/2011 10:00,4.68,17993.0,Spain,2011-01-10 10:00:00
536391,84029E,RED WOOLLY HOTTIE WHITE HEART,12,02/28/2011 09:43,0.52,14513.0,Belgium,2011-02-28 09:43:00
536392,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,01/29/2011 18:09,4.06,13511.0,United Kingdom,2011-01-29 18:09:00
536392,84879,ASSORTED COLOUR BIRD ORNAMENT,6,02/06/2011 15:07,5.21,14837.0,Belgium,2011-02-06 15:07:00
536392,22632,HAND WARMER RED POLKA DOT,1,03/18/2011 08:56,7.46,14986.0,Spain,2011-03-18 08:56:00
536393,84879,ASSORTED COLOUR BIRD ORNAMENT,1,03/28/2011 12:36,3.46,GUEST,Spain,2011-03-28 12:36:00
536393,84406B,CREAM CUPID HEARTS COAT HANGER,4,03/23/2011 15:05,2.88,15691.0,France,2011-03-23 15:05:00
536393,84406B,CREAM CUPID HEARTS COAT HANGER,12,03/05/2011 12:42,3.5,16852.0,United Kingdom,2011-03-05 12:42:00
536394,22752,SET 7 BABUSHKA NESTING BOXES,24,02/21/2011 16:52,6.33,17733.0,Spain,2011-02-21 16:52:00
536394,22632,HAND WARMER RED POLKA DOT,24,03/05/2011 18:28,5.16,14013.0,France,2011-03-05 18:28:00
536394,22633,HAND WARMER UNION JACK,4,01/16/2011 08:40,3.44,14306.0,Belgium,2011-01-16 08:40:00
536395,22632,HAND WARMER RED POLKA DOT,2,01/15/2011 15:07,5.53,13607.0,Netherlands,2011-01-15 15:07:00
536395,84029E,RED WOOLLY HOTTIE WHITE HEART,4,03/02/2011 11:29,4.69,15488.0,Germany,2011-03-02 11:29:00
536395,84406B,CREAM CUPID HEARTS COAT HANGER,3,02/23/2011 13:59,6.44,14534.0,United Kingdom,2011-02-23 13:59:00
536396,84879,ASSORTED COLOUR BIRD ORNAMENT,12,03/04/2011 10:28,3.1,15173.0,France,2011-03-04 10:28:00
536396,22633,HAND WARMER UNION JACK,24,01/25/2011 11:36,3.84,15711.0,United Kingdom,2011-01-25 11:36:00
536396,21730,GLASS STAR FROSTED T-LIGHT HOLDER,12,03/25/2011 10:31,3.72,13380.0,Spain,2011-03-25 10:31:00
536397,71053,WHITE METAL LANTERN,4,01/13/2011 16:58,1.57,18264.0,Germany,2011-01-13 16:58:00
536397,84406B,CREAM CUPID HEARTS COAT HANGER,6,02/13/2011 17:44,5.09,13003.0,France,2011-02-13 17:44:00
536397,21730,GLASS STAR FROSTED T-LIGHT HOLDER,12,03/04/2011 16:02,5.02,14269.0,Belgium,2011-03-04 16:02:00
536398,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,4,01/13/2011 18:45,4.51,15980.0,Germany,2011-01-13 18:45:00
536398,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,02/07/2011 13:23,4.03,14346.0,Spain,2011-02-07 13:23:00
536398,84406B,CREAM CUPID HEARTS COAT HANGER,1,03/20/2011 14:39,1.67,16422.0,Spain,2011-03-20 14:39:00
536399,84029E,RED WOOLLY HOTTIE WHITE HEART,12,01/02/2011 15:57,3.66,16823.0,Germany,2011-01-02 15:57:00
536399,84879,ASSORTED COLOUR BIRD ORNAMENT,4,03/30/2011 12:29,3.81,13977.0,Netherlands,2011-03-30 12:29:00
536399,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,02/07/2011 12:01,2.9,17738.0,Netherlands,2011-02-07 12:01:00
536400,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,03/05/2011 12:49,4.18,17319.0,France,2011-03-05 12:49:00
536400,84029E,RED WOOLLY HOTTIE WHITE HEART,12,03/26/2011 18:53,5.31,13141.0,Belgium,2011-03-26 18:53:00
536400,22633,HAND WARMER UNION JACK,12,01/17/2011 09:58,8.27,15749.0,Germany,2011-01-17 09:58:00
536401,22752,SET 7 BABUSHKA NESTING BOXES,3,01/22/2011 12:58,4.85,16293.0,France,2011-01-22 12:58:00
536401,71053,WHITE METAL LANTERN,1,01/19/2011 11:55,5.02,17870.0,Netherlands,2011-01-19 11:55:00
536401,22752,SET 7 BABUSHKA NESTING BOXES,4,01/02/2011 12:34,4.35,15365.0,Belgium,2011-01-02 12:34:00
536402,21730,GLASS STAR FROSTED T-LIGHT HOLDER,3,01/14/2011 18:14,0.66,17421.0,Spain,2011-01-14 18:14:00
536402,71053,WHITE METAL LANTERN,4,03/31/2011 12:41,4.45,13491.0,United Kingdom,2011-03-31 12:41:00
536402,22633,HAND WARMER UNION JACK,2,03/10/2011 10:24,4.62,17838.0,Belgium,2011-03-10 10:24:00
536403,84879,ASSORTED COLOUR BIRD ORNAMENT,2,02/23/2011 18:06,9.43,17389.0,Netherlands,2011-02-23 18:06:00
536403,22752,SET 7 BABUSHKA NESTING BOXES,4,01/31/2011 13:06,4.12,15355.0,Spain,2011-01-31 13:06:00
536403,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,01/16/2011 15:05,5.1,17602.0,Belgium,2011-01-16 15:05:00
536404,22752,SET 7 BABUSHKA NESTING BOXES,2,03/14/2011 11:04,4.43,16886.0,Germany,2011-03-14 11:04:00
536404,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,03/18/2011 08:17,2.16,13531.0,Germany,2011-03-18 08:17:00
536404,71053,WHITE METAL LANTERN,1,01/17/2011 08:22,6.79,14295.0,Spain,2011-01-17 08:22:00
536405,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,03/09/2011 09:47,6.0,16018.0,France,2011-03-09 09:47:00
536405,22632,HAND WARMER RED POLKA DOT,6,01/06/2011 18:33,6.08,17616.0,United Kingdom,2011-01-06 18:33:00
536405,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,03/04/2011 15:04,2.68,14984.0,Spain,2011-03-04 15:04:00
536406,84879,ASSORTED COLOUR BIRD ORNAMENT,6,02/11/2011 14:38,7.31,16062.0,Spain,2011-02-11 14:38:00
536406,71053,WHITE METAL LANTERN,12,03/12/2011 11:27,1.7,14217.0,Netherlands,2011-03-12 11:27:00
536406,21730,GLASS STAR FROSTED T-LIGHT HOLDER,3,02/24/2011 13:42,5.67,13596.0,Belgium,2011-02-24 13:42:00
536407,71053,WHITE METAL LANTERN,1,02/17/2011 10:35,8.88,GUEST,Belgium,2011-02-17 10:35:00
536407,21730,GLASS STAR FROSTED T-LIGHT HOLDER,12,01/07/2011 12:38,2.52,13194.0,Spain,2011-01-07 12:38:00
536407,22633,HAND WARMER UNION JACK,1,02/14/2011 16:23,3.37,14628.0,Spain,2011-02-14 16:23:00
536408,22632,HAND WARMER RED POLKA DOT,24,03/21/2011 17:43,4.7,12561.0,Spain,2011-03-21 17:43:00
536408,84029E,RED WOOLLY HOTTIE WHITE HEART,6,03/31/2011 12:58,3.49,12396.0,Germany,2011-03-31 12:58:00
536408,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,01/12/2011 16:13,1.4,16062.0,France,2011-01-12 16:13:00
536409,22752,SET 7 BABUSHKA NESTING BOXES,6,03/18/2011 09:56,4.64,13635.0,Belgium,2011-03-18 09:56:00
536409,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,02/23/2011 12:13,2.38,13278.0,France,2011-02-23 12:13:00
536409,84879,UNKNOWN_ITEM,12,02/09/2011 08:14,5.45,17255.0,United Kingdom,2011-02-09 08:14:00
536410,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,24,02/02/2011 12:20,2.66,16420.0,Belgium,2011-02-02 12:20:00
536410,22632,HAND WARMER RED POLKA DOT,6,03/13/2011 18:51,-7.6,15598.0,Belgium,2011-03-13 18:51:00
536410,71053,WHITE METAL LANTERN,6,02/24/2011 17:25,2.93,15767.0,France,2011-02-24 17:25:00
536411,22752,SET 7 BABUSHKA NESTING BOXES,6,02/28/2011 13:05,3.86,13213.0,Germany,2011-02-28 13:05:00
536411,71053,WHITE METAL LANTERN,3,02/13/2011 11:21,6.13,12971.0,Spain,2011-02-13 11:21:00
536411,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,02/14/2011 18:52,2.04,13188.0,Germany,2011-02-14 18:52:00
536412,84406B,CREAM CUPID HEARTS COAT HANGER,12,01/10/2011 10:49,4.95,16146.0,Spain,2011-01-10 10:49:00
536412,84879,ASSORTED COLOUR BIRD ORNAMENT,6,02/11/2011 18:20,7.11,12905.0,Netherlands,2011-02-11 18:20:00
536412,84029E,RED WOOLLY HOTTIE WHITE HEART,3,03/06/2011 09:19,1.29,12654.0,United Kingdom,2011-03-06 09:19:00
536413,71053,WHITE METAL LANTERN,6,02/19/2011 15:37,4.87,12682.0,Netherlands,2011-02-19 15:37:00
536413,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,4,03/06/2011 10:03,5.02,15159.0,Belgium,2011-03-06 10:03:00
536413,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,02/26/2011 16:33,6.06,15327.0,France,2011-02-26 16:33:00
536414,22752,SET 7 BABUSHKA NESTING BOXES,1,03/22/2011 18:21,2.03,13120.0,Spain,2011-03-22 18:21:00
536414,84879,ASSORTED COLOUR BIRD ORNAMENT,3,01/11/2011 17:42,1.86,15211.0,France,2011-01-11 17:42:00
536414,21730,GLASS STAR FROSTED T-LIGHT HOLDER,12,01/11/2011 12:35,5.54,15036.0,Germany,2011-01-11 12:35:00
536415,22632,HAND WARMER RED POLKA DOT,12,02/24/2011 16:23,5.09,14876.0,Germany,2011-02-24 16:23:00
536415,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,01/20/2011 09:18,5.0,13174.0,Spain,2011-01-20 09:18:00
536415,22632,HAND WARMER RED POLKA DOT,12,03/21/2011 10:38,5.19,13675.0,Germany,2011-03-21 10:38:00
536416,84406B,CREAM CUPID HEARTS COAT HANGER,1,02/22/2011 13:43,3.14,15984.0,Spain,2011-02-22 13:43:00
536416,22633,HAND WARMER UNION JACK,2,02/09/2011 15:57,4.96,15359.0,Belgium,2011-02-09 15:57:00
536416,22633,HAND WARMER UNION JACK,24,02/18/2011 16:33,5.09,13673.0,Germany,2011-02-18 16:33:00
536417,84029E,RED WOOLLY HOTTIE WHITE HEART,-1,02/17/2011 16:59,3.07,16572.0,United Kingdom,2011-02-17 16:59:00
536417,84029E,RED WOOLLY HOTTIE WHITE HEART,6,01/19/2011 14:05,8.23,14164.0,Netherlands,2011-01-19 14:05:00
536417,21730,UNKNOWN_ITEM,-2,02/17/2011 11:24,5.45,15417.0,Germany,2011-02-17 11:24:00
536418,22752,SET 7 BABUSHKA NESTING BOXES,2,01/05/2011 12:58,2.12,18048.0,Germany,2011-01-05 12:58:00
536418,84879,ASSORTED COLOUR BIRD ORNAMENT,2,01/03/2011 12:13,5.81,16841.0,Belgium,2011-01-03 12:13:00
536418,84029E,RED WOOLLY HOTTIE WHITE HEART,1,01/07/2011 11:26,2.55,17448.0,Netherlands,2011-01-07 11:26:00
536419,22633,HAND WARMER UNION JACK,1,03/22/2011 16:36,6.07,13522.0,France,2011-03-22 16:36:00
536419,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,03/27/2011 18:05,6.82,15300.0,United Kingdom,2011-03-27 18:05:00
536419,22632,HAND WARMER RED POLKA DOT,4,03/02/2011 08:40,2.86,15404.0,France,2011-03-02 08:40:00
536420,71053,WHITE METAL LANTERN,12,03/26/2011 18:06,6.43,15069.0,Germany,2011-03-26 18:06:00
536420,84406B,CREAM CUPID HEARTS COAT HANGER,12,03/01/2011 15:40,5.33,13450.0,United Kingdom,2011-03-01 15:40:00
536420,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,01/26/2011 08:20,6.14,16568.0,Netherlands,2011-01-26 08:20:00
536421,84029E,RED WOOLLY HOTTIE WHITE HEART,4,02/06/2011 13:55,8.29,17717.0,France,2011-02-06 13:55:00
536421,21730,GLASS STAR FROSTED T-LIGHT HOLDER,12,02/26/2011 14:21,4.01,16410.0,Belgium,2011-02-26 14:21:00
536421,22632,HAND WARMER RED POLKA DOT,1,02/24/2011 09:27,2.99,13824.0,Spain,2011-02-24 09:27:00
536422,22752,SET 7 BABUSHKA NESTING BOXES,3,02/27/2011 17:45,2.72,17996.0,Netherlands,2011-02-27 17:45:00
536422,22752,SET 7 BABUSHKA NESTING BOXES,4,02/05/2011 18:50,2.87,12960.0,Belgium,2011-02-05 18:50:00
536422,84406B,CREAM CUPID HEARTS COAT HANGER,2,03/19/2011 18:50,4.35,13380.0,United Kingdom,2011-03-19 18:50:00
536423,22752,SET 7 BABUSHKA NESTING BOXES,6,01/05/2011 17:09,5.18,15384.0,France,2011-01-05 17:09:00
536423,84406B,CREAM CUPID HEARTS COAT HANGER,4,02/10/2011 18:17,5.05,13275.0,United Kingdom,2011-02-10 18:17:00
536423,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,02/03/2011 12:45,6.15,17358.0,France,2011-02-03 12:45:00
536424,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,24,01/10/2011 15:11,4.53,15992.0,United Kingdom,2011-01-10 15:11:00
536424,22752,SET 7 BABUSHKA NESTING BOXES,12,01/09/2011 16:34,7.41,14803.0,Germany,2011-01-09 16:34:00
536424,84406B,UNKNOWN_ITEM,6,01/29/2011 09:12,3.97,14285.0,Netherlands,2011-01-29 09:12:00
536425,22752,SET 7 BABUSHKA NESTING BOXES,6,01/17/2011 17:56,9.94,14879.0,Netherlands,2011-01-17 17:56:00
536425,22632,HAND WARMER RED POLKA DOT,4,03/15/2011 09:08,5.75,17608.0,United Kingdom,2011-03-15 09:08:00
536425,22752,SET 7 BABUSHKA NESTING BOXES,24,03/12/2011 18:37,2.79,13403.0,Netherlands,2011-03-12 18:37:00
536426,71053,WHITE METAL LANTERN,3,01/22/2011 10:20,2.36,14193.0,France,2011-01-22 10:20:00
536426,84029E,RED WOOLLY HOTTIE WHITE HEART,3,01/26/2011 18:35,5.46,17466.0,France,2011-01-26 18:35:00
536426,84406B,CREAM CUPID HEARTS COAT HANGER,6,01/20/2011 10:42,4.05,17303.0,France,2011-01-20 10:42:00
536427,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,03/15/2011 12:41,5.93,17032.0,Netherlands,2011-03-15 12:41:00
536427,22632,HAND WARMER RED POLKA DOT,3,03/03/2011 11:51,5.45,15672.0,France,2011-03-03 11:51:00
536427,84406B,CREAM CUPID HEARTS COAT HANGER,4,03/01/2011 11:21,4.35,14906.0,Belgium,2011-03-01 11:21:00
536428,22752,SET 7 BABUSHKA NESTING BOXES,2,02/17/2011 16:35,2.81,14326.0,Netherlands,2011-02-17 16:35:00
536428,84406B,CREAM CUPID HEARTS COAT HANGER,3,02/19/2011 17:26,1.47,13654.0,France,2011-02-19 17:26:00
536428,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,4,03/07/2011 15:31,3.61,16420.0,United Kingdom,2011-03-07 15:31:00
536429,22633,HAND WARMER UNION JACK,2,03/16/2011 13:03,6.21,GUEST,France,2011-03-16 13:03:00
536429,21730,GLASS STAR FROSTED T-LIGHT HOLDER,3,02/16/2011 14:23,4.93,12765.0,France,2011-02-16 14:23:00
536429,22632,HAND WARMER RED POLKA DOT,6,02/05/2011 17:43,2.01,13400.0,United Kingdom,2011-02-05 17:43:00
536430,22752,SET 7 BABUSHKA NESTING BOXES,3,01/19/2011 11:38,4.85,16442.0,United Kingdom,2011-01-19 11:38:00
536430,22752,SET 7 BABUSHKA NESTING BOXES,6,02/28/2011 10:38,5.27,13491.0,France,2011-02-28 10:38:00
536430,21730,GLASS STAR FROSTED T-LIGHT HOLDER,12,02/08/2011 17:21,2.73,16521.0,Spain,2011-02-08 17:21:00
536431,22633,HAND WARMER UNION JACK,3,02/12/2011 18:07,4.81,17127.0,France,2011-02-12 18:07:00
536431,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,03/25/2011 17:36,4.62,12766.0,Spain,2011-03-25 17:36:00
536431,84879,UNKNOWN_ITEM,4,01/19/2011 18:15,2.21,18084.0,Germany,2011-01-19 18:15:00
536432,84406B,CREAM CUPID HEARTS COAT HANGER,2,02/22/2011 16:49,5.22,16209.0,Belgium,2011-02-22 16:49:00
536432,22632,HAND WARMER RED POLKA DOT,3,03/26/2011 15:33,5.62,13764.0,Netherlands,2011-03-26 15:33:00
536432,22752,SET 7 BABUSHKA NESTING BOXES,24,03/29/2011 18:51,6.67,17343.0,Netherlands,2011-03-29 18:51:00
536433,22632,HAND WARMER RED POLKA DOT,3,02/06/2011 11:44,6.61,14943.0,Netherlands,2011-02-06 11:44:00
536433,84029E,RED WOOLLY HOTTIE WHITE HEART,6,03/28/2011 16:24,1.74,15578.0,France,2011-03-28 16:24:00
536433,84029E,RED WOOLLY HOTTIE WHITE HEART,2,02/14/2011 15:41,2.62,16270.0,Germany,2011-02-14 15:41:00
536434,22632,HAND WARMER RED POLKA DOT,2,01/14/2011 17:47,5.53,14332.0,United Kingdom,2011-01-14 17:47:00
536434,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,24,02/12/2011 15:06,5.53,13472.0,United Kingdom,2011-02-12 15:06:00
536434,84406B,CREAM CUPID HEARTS COAT HANGER,4,03/03/2011 18:12,5.53,14699.0,France,2011-03-03 18:12:00
