TransactionDate,Country,Revenue
2011-02-12,Netherlands,63.239999999999995
2011-02-12,Spain,48.0
2011-02-12,United Kingdom,132.72
2011-02-13,France,30.54
2011-02-13,Spain,18.39
2011-02-14,Belgium,108.72
2011-02-14,France,20.44
2011-02-14,Germany,67.16
2011-02-14,Spain,11.77
2011-02-16,Belgium,7.56
2011-02-16,France,14.79
2011-02-16,Netherlands,113.52000000000001
2011-02-17,Belgium,25.65
2011-02-17,Germany,-10.9
2011-02-17,Netherlands,5.62
2011-02-17,Spain,10.6
2011-02-17,United Kingdom,107.09
2011-02-18,France,15.48
2011-02-18,Germany,122.16
2011-02-18,Netherlands,44.64
2011-02-18,Spain,32.339999999999996
2011-02-18,United Kingdom,15.32
2011-02-19,France,4.41
2011-02-19,Netherlands,34.21
2011-02-19,United Kingdom,3.3
2011-02-20,Belgium,56.64
2011-02-20,Germany,9.16
2011-02-20,Netherlands,12.1
2011-02-20,Spain,86.88
2011-02-20,United Kingdom,21.36
2011-02-21,Belgium,69.6
2011-02-21,Germany,2.34
2011-02-21,Spain,219.60000000000002
2011-02-22,Belgium,10.44
2011-02-22,France,39.64
2011-02-22,Netherlands,12.16
2011-02-22,Spain,3.14
2011-02-22,United Kingdom,23.68
2011-02-23,France,9.52
2011-02-23,Germany,12.88
2011-02-23,Netherlands,18.86
2011-02-23,United Kingdom,25.04
2011-02-24,Belgium,17.009999999999998
2011-02-24,France,17.580000000000002
2011-02-24,Germany,61.08
2011-02-24,Netherlands,40.08
2011-02-24,Spain,2.99
2011-02-25,France,1.5
2011-02-25,United Kingdom,25.36
2011-02-26,Belgium,48.12
2011-02-26,France,24.24
2011-02-26,Germany,123.59999999999998
2011-02-26,Spain,42.72
2011-02-26,United Kingdom,19.68
2011-02-27,Netherlands,79.74
2011-02-27,Spain,13.96
2011-02-27,United Kingdom,9.38
2011-02-28,Belgium,16.47
2011-02-28,France,82.02000000000001
2011-02-28,Germany,67.32000000000001
2011-02-28,Spain,89.52
2011-03-01,Belgium,29.659999999999997
2011-03-01,Spain,13.919999999999998
2011-03-01,United Kingdom,59.89
2011-03-02,Belgium,5.87
2011-03-02,France,51.42
2011-03-02,Germany,18.76
2011-03-02,Netherlands,12.0
2011-03-02,United Kingdom,89.4
2011-03-03,France,38.47
2011-03-03,Germany,202.32
2011-03-03,Netherlands,36.480000000000004
2011-03-03,Spain,21.36
2011-03-03,United Kingdom,25.64
2011-03-04,Belgium,63.51
2011-03-04,France,50.22
2011-03-04,Netherlands,147.12
2011-03-04,Spain,5.98
2011-03-04,United Kingdom,6.429999999999999
2011-03-05,France,183.82
2011-03-05,Germany,27.92
2011-03-05,Netherlands,17.25
2011-03-05,United Kingdom,48.3
2011-03-06,Belgium,91.96
2011-03-06,United Kingdom,3.87
2011-03-07,Belgium,33.12
2011-03-07,Germany,47.599999999999994
2011-03-07,Netherlands,16.56
2011-03-07,United Kingdom,40.75
2011-03-08,France,4.57
2011-03-08,Spain,7.9
2011-03-09,Belgium,8.459999999999999
2011-03-09,France,30.23
2011-03-09,Germany,17.92
2011-03-09,Netherlands,45.36
2011-03-09,Spain,9.04
2011-03-09,United Kingdom,206.39999999999998
2011-03-10,Belgium,9.24
2011-03-10,France,114.96000000000001
2011-03-10,Germany,120.18
2011-03-10,Netherlands,121.44
2011-03-10,Spain,123.84
2011-03-10,United Kingdom,163.92000000000002
2011-03-11,France,76.32000000000001
2011-03-11,Netherlands,138.0
2011-03-11,Spain,22.92
2011-03-11,United Kingdom,15.36
2011-03-12,France,20.88
2011-03-12,Germany,60.54
2011-03-12,Netherlands,87.36000000000001
2011-03-12,Spain,37.66
2011-03-13,Netherlands,123.25
2011-03-14,Belgium,7.12
2011-03-14,France,85.68
2011-03-14,Germany,8.86
2011-03-14,Spain,6.76
2011-03-14,United Kingdom,6.5
2011-03-15,Germany,37.32
2011-03-15,Netherlands,86.2
2011-03-15,United Kingdom,23.0
2011-03-16,Belgium,3.48
2011-03-16,France,12.42
2011-03-16,Germany,-9.74
2011-03-16,Netherlands,111.56
2011-03-16,United Kingdom,16.72
2011-03-17,France,19.15
2011-03-17,Germany,14.940000000000001
2011-03-17,United Kingdom,19.310000000000002
2011-03-18,Belgium,27.839999999999996
2011-03-18,France,48.36
2011-03-18,Germany,4.32
2011-03-18,Spain,7.46
2011-03-18,United Kingdom,14.580000000000002
2011-03-19,France,36.099999999999994
2011-03-19,Germany,9.52
2011-03-19,United Kingdom,8.7
2011-03-20,Belgium,21.63
2011-03-20,Netherlands,20.6
2011-03-20,Spain,112.79
2011-03-20,United Kingdom,24.08
2011-03-21,Belgium,6.0
2011-03-21,France,20.22
2011-03-21,Germany,62.28
2011-03-21,Netherlands,155.51999999999998
2011-03-21,Spain,112.80000000000001
2011-03-21,United Kingdom,11.58
2011-03-22,France,23.650000000000002
2011-03-22,Germany,24.18
2011-03-22,Spain,2.03
2011-03-23,Belgium,71.23
2011-03-23,France,44.58
2011-03-23,Netherlands,11.52
2011-03-23,Spain,49.44
2011-03-24,Belgium,91.92
2011-03-24,France,25.64
2011-03-24,Spain,57.12
2011-03-25,Belgium,48.72
2011-03-25,Netherlands,26.43
2011-03-25,Spain,58.5
2011-03-25,United Kingdom,61.56
2011-03-26,Belgium,63.72
2011-03-26,France,114.60000000000001
2011-03-26,Germany,82.34
2011-03-26,Netherlands,16.86
2011-03-26,Spain,12.46
2011-03-26,United Kingdom,19.14
2011-03-27,Belgium,19.79
2011-03-27,Spain,14.42
2011-03-27,United Kingdom,15.96
2011-03-28,Belgium,18.419999999999998
2011-03-28,France,10.44
2011-03-28,Netherlands,101.28
2011-03-28,Spain,54.699999999999996
2011-03-28,United Kingdom,43.59
2011-03-29,Belgium,38.160000000000004
2011-03-29,Germany,167.7
2011-03-29,Netherlands,292.32
2011-03-29,United Kingdom,0.98
2011-03-30,France,18.06
2011-03-30,Germany,72.36
2011-03-30,Netherlands,77.52
2011-03-30,Spain,23.16
2011-03-31,Germany,20.94
2011-03-31,Netherlands,113.52000000000001
2011-03-31,United Kingdom,57.64
2011-04-01,Netherlands,19.200000000000003
2011-04-01,United Kingdom,-4.38
