customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,is_new_customer,monthly_charge_band,avg_monthly_spend_gap
7590-0085,Female,1,Yes,Yes,13,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.8,282.23,No,0,Low,12.230000000000018
7590-0087,Female,0,Yes,No,0,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),68.76,,Yes,1,Medium,0.0
7590-0091,Female,0,Yes,Yes,49,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,108.67,5033.83,No,0,High,-4.460000000000036
7590-0095,Male,0,No,Yes,10,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,56.34,565.04,Yes,0,Medium,-49.60000000000002
7590-0098,Male,0,Yes,No,0,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,39.35,74.93,Yes,1,Medium,3.3900000000000006
7590-0099,Female,1,No,Yes,33,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),28.58,895.6,No,0,Low,-13.700000000000045
7590-0102,Female,0,Yes,Yes,61,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,78.56,4508.56,No,0,High,9.100000000000364
7590-0105,Female,0,Yes,Yes,4,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,73.68,435.93,Yes,1,Medium,34.05000000000001
7590-0106,Female,0,No,Yes,47,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,52.48,2282.52,No,0,Medium,-55.26999999999998
7590-0121,Male,0,No,No,6,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),83.52,613.58,Yes,0,High,6.139999999999986
7590-0128,Male,0,No,Yes,63,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,85.16,5044.66,Yes,0,High,12.359999999999673
7590-0130,Male,0,No,Yes,12,No,No phone service,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),77.48,1027.04,No,0,High,40.879999999999995
7590-0134,Male,0,No,Yes,7,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),23.43,171.69,No,0,Low,-20.01000000000002
7590-0138,Male,0,No,Yes,46,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),85.99,3759.67,No,0,High,7.510000000000218
7590-0156,Male,1,Yes,No,2,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.81,277.52,No,1,High,-16.319999999999993
7590-0159,Male,0,Yes,No,37,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.8,696.48,No,0,Low,-5.519999999999982
7590-0160,Male,0,No,No,56,No,No phone service,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Electronic check,35.06,1845.43,No,0,Low,-3.0299999999999727
7590-0161,Male,0,No,Yes,5,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,65.93,444.6,No,0,Medium,25.02000000000004
7590-0166,Female,0,Yes,Yes,19,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,72.85,1334.7,No,0,Medium,-56.13000000000011
7590-0170,Male,0,No,No,45,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),25.98,1118.92,No,0,Low,8.779999999999973
7590-0187,Male,1,Yes,Yes,36,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),76.53,2624.92,No,0,Medium,-18.73999999999978
7590-0189,Male,0,No,No,39,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,57.56,2196.07,No,0,Medium,50.54000000000042
7590-0191,Male,0,No,Yes,66,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),87.66,5434.27,Yes,0,High,15.350000000000364
7590-0200,Male,0,Yes,No,56,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,42.13,2183.63,No,0,Medium,-37.76999999999953
7590-0201,Male,0,Yes,No,67,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),76.31,4777.98,Yes,0,Medium,-8.550000000001091
7590-0205,Female,0,No,Yes,46,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),73.61,3228.95,No,0,Medium,16.789999999999964
7590-0206,Female,0,Yes,Yes,10,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,104.79,1186.38,No,0,High,43.25999999999999
7590-0214,Female,1,No,Yes,21,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Electronic check,67.16,1412.09,No,0,Medium,7.940000000000055
7590-0216,Female,0,No,No,3,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),80.55,368.84,No,1,High,2.689999999999941
7590-0217,Female,0,No,Yes,17,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),91.83,1575.03,No,0,High,-11.090000000000146
7590-0230,Male,0,No,Yes,58,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),79.41,4284.32,No,0,High,-47.07999999999993
7590-0240,Male,0,Yes,No,68,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),68.07,4327.02,Yes,0,Medium,-4.579999999999927
7590-0241,Male,0,No,Yes,50,No,No phone service,Fiber optic,Yes,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),83.63,3867.93,No,0,High,-85.63000000000011
7590-0242,Female,1,No,No,30,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),68.08,1936.48,No,0,Medium,-44.0
7590-0243,Female,1,Yes,Yes,22,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),89.46,,No,0,High,-1870.5900000000001
7590-0251,Female,1,No,Yes,33,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,59.17,1865.8,No,0,Medium,-16.84999999999991
7590-0252,Female,0,Yes,Yes,36,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.8,666.51,No,0,Low,-17.49000000000001
7590-0269,Female,1,Yes,No,2,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,64.14,265.45,Yes,1,Medium,32.20999999999998
7590-0270,Male,0,Yes,Yes,59,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,39.48,2167.75,No,0,Medium,-21.539999999999964
7590-0273,Male,0,Yes,Yes,0,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Mailed check,84.08,57.55,No,1,High,-18.89
7590-0276,Male,0,Yes,Yes,22,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,41.48,902.32,No,0,Medium,-2.7199999999999136
7590-0288,Female,0,No,Yes,27,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,61.38,1614.44,No,0,Medium,-3.7599999999997635
7590-0295,Male,0,Yes,No,29,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,25.93,771.83,No,0,Low,41.16000000000008
7590-0308,Female,0,No,No,55,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),79.73,4181.7,No,0,High,50.339999999999236
7590-0313,Male,0,No,Yes,33,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Electronic check,46.46,1507.9,No,0,Medium,29.5
7590-0315,Female,0,No,Yes,54,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),63.77,3207.69,Yes,0,Medium,-38.629999999999654
7590-0330,Female,0,Yes,No,2,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.06,80.44,No,1,Low,7.480000000000004
7590-0337,Female,1,Yes,No,53,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,No,Bank transfer (automatic),85.59,4243.65,No,0,High,-35.900000000000546
7590-0339,Male,0,No,Yes,56,No,No phone service,Fiber optic,No,No,Yes,Yes,No,No,Two year,No,Electronic check,60.95,3274.24,No,0,Medium,60.460000000000036
7590-0343,Female,0,No,Yes,52,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),21.45,1046.23,Yes,0,Low,-6.769999999999982
7590-0345,Male,0,Yes,Yes,64,No,No phone service,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,100.43,,No,0,High,-5934.5
7590-0366,Female,1,Yes,No,43,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,59.26,2411.39,Yes,0,Medium,-12.760000000000218
7590-0372,Female,0,No,Yes,60,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),33.35,1828.13,No,0,Low,-51.70999999999981
7590-0378,Female,0,No,Yes,48,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),56.8,2594.89,Yes,0,Medium,12.889999999999873
7590-0379,Female,0,No,Yes,0,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.8,,No,1,Low,0.0
7590-0385,Male,0,No,Yes,28,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),48.9,1350.08,No,0,Medium,16.579999999999927
7590-0387,Female,0,Yes,Yes,52,No,No phone service,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,No,Electronic check,63.04,3089.15,No,0,Medium,-5.5900000000001455
7590-0389,Female,0,No,Yes,21,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Credit card (automatic),57.24,1179.32,No,0,Medium,-17.600000000000136
7590-0391,Male,0,Yes,Yes,52,No,No phone service,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),69.3,3360.37,No,0,Medium,-41.63000000000011
7590-0392,Female,1,No,Yes,39,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Mailed check,66.03,2468.97,No,0,Medium,7.739999999999782
7590-0397,Male,0,No,Yes,62,No,No phone service,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),78.87,4555.13,No,0,High,-33.67000000000007
7590-0401,Female,0,Yes,No,66,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),60.8,3750.46,Yes,0,Medium,-7.900000000000091
7590-0406,Male,0,No,Yes,48,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.8,889.88,No,0,Low,-10.120000000000005
7590-0413,Male,0,No,Yes,65,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,57.89,3549.88,No,0,Medium,23.670000000000073
7590-0418,Female,0,Yes,Yes,4,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,105.6,568.81,No,1,High,-7.190000000000055
7590-0427,Female,0,No,Yes,28,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),19.8,545.64,No,0,Low,5.639999999999986
7590-0435,Female,0,No,Yes,62,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),84.82,4915.65,No,0,High,-19.390000000000327
7590-0454,Male,0,Yes,Yes,2,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.8,,Yes,1,Low,-54.0
7590-0455,Male,0,No,No,5,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,No,Mailed check,84.19,499.04,No,0,High,-36.740000000000066
7590-0458,Female,0,Yes,Yes,53,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.8,981.26,No,0,Low,-8.740000000000009
7590-0459,Male,1,Yes,Yes,10,No,No phone service,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,No,Credit card (automatic),74.25,842.23,No,0,Medium,32.23000000000002
7590-0460,Male,0,Yes,Yes,54,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),87.7,4511.84,Yes,0,High,46.960000000000036
7590-0461,Male,0,No,Yes,57,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,49.59,2661.82,No,0,Medium,2.100000000000364
7590-0466,Female,0,No,Yes,22,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),23.85,,Yes,0,Low,-498.63999999999993
7590-0471,Male,0,No,Yes,19,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),57.17,1066.03,Yes,0,Medium,-25.339999999999918
7590-0474,Male,0,No,Yes,49,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,85.66,3986.59,No,0,High,15.2199999999998
7590-0475,Female,0,Yes,Yes,68,No,No phone service,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),51.36,3269.5,Yes,0,Medium,1.2000000000002728
7590-0476,Female,0,No,Yes,63,No,No phone service,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),106.29,6286.13,No,0,High,5.180000000000291
7590-0484,Female,0,No,Yes,15,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,62.29,966.17,No,0,Medium,3.4599999999999227
7590-0489,Male,0,No,Yes,27,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),19.8,542.85,Yes,0,Low,20.850000000000023
7590-0491,Male,1,No,No,57,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),27.16,1392.56,No,0,Low,-64.15000000000009
7590-0492,Male,1,No,No,67,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Electronic check,57.68,3605.33,No,0,Medium,-13.029999999999745
7590-0498,Female,0,No,Yes,39,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),74.07,2752.55,Yes,0,Medium,-8.389999999999873
7590-0502,Female,0,Yes,Yes,47,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),42.77,1872.82,No,0,Medium,-32.30000000000018
7590-0504,Male,0,Yes,No,52,No,No phone service,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Credit card (automatic),81.39,3969.72,Yes,0,High,-25.73999999999978
7590-0508,Female,1,No,Yes,43,No,No phone service,Fiber optic,Yes,No,No,No,Yes,Yes,One year,No,Credit card (automatic),67.86,2769.33,No,0,Medium,-6.7199999999998
7590-0510,Female,1,Yes,Yes,51,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),95.17,4606.57,No,0,High,21.01000000000022
7590-0520,Male,0,Yes,No,54,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,87.44,4444.26,No,0,High,-7.1799999999993815
7590-0524,Male,0,Yes,Yes,30,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,38.85,1111.91,Yes,0,Medium,-18.329999999999927
7590-0543,Male,0,Yes,No,57,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,30.86,1684.41,No,0,Low,29.460000000000036
7590-0544,Male,0,Yes,Yes,20,No,No phone service,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Mailed check,71.64,1438.65,No,0,Medium,5.790000000000191
7590-0549,Female,1,Yes,Yes,35,No,No phone service,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Mailed check,37.19,1250.52,No,0,Low,-0.4500000000000455
7590-0551,Female,1,No,No,0,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),87.31,143.11,No,1,High,63.74000000000001
7590-0555,Female,0,Yes,No,36,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,58.34,2025.57,Yes,0,Medium,10.049999999999955
7590-0560,Female,0,No,Yes,51,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Electronic check,72.8,3503.93,No,0,Medium,-3.610000000000582
7590-0561,Male,0,Yes,Yes,40,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),40.41,1554.32,No,0,Medium,11.239999999999782
7590-0562,Female,0,No,Yes,13,No,No phone service,Fiber optic,Yes,Yes,No,No,No,Yes,One year,No,Electronic check,74.58,1093.02,No,0,Medium,76.01999999999998
7590-0564,Female,1,No,Yes,30,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,25.84,756.83,No,0,Low,5.150000000000091
7590-0565,Female,0,No,Yes,26,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),56.83,,No,0,Medium,-1394.82
7590-0566,Female,1,No,Yes,40,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,63.16,2427.28,Yes,0,Medium,15.640000000000327
7590-0567,Female,0,No,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,40.47,2425.91,No,0,Medium,-2.230000000000018
7590-0576,Female,0,No,Yes,52,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Credit card (automatic),66.12,3276.59,No,0,Medium,30.65000000000009
7590-0586,Female,0,Yes,Yes,19,No,No phone service,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,68.06,1291.45,Yes,0,Medium,-7.819999999999936
7590-0599,Male,0,Yes,Yes,69,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,No,Electronic check,51.05,3346.49,No,0,Medium,51.38000000000011
7590-0600,Male,0,No,Yes,61,No,No phone service,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),71.82,4105.07,No,0,Medium,-8.200000000000728
7590-0606,Female,0,No,No,0,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,Yes,Electronic check,87.33,,No,1,High,0.0
7590-0610,Female,0,Yes,Yes,55,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,95.04,4887.27,Yes,0,High,-37.529999999999745
7590-0614,Female,0,No,No,7,No,No phone service,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,80.21,658.31,No,0,High,2.0299999999999727
7590-0632,Male,0,No,Yes,33,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,116.96,3736.2,No,0,High,14.650000000000091
7590-0634,Male,0,No,Yes,9,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,One year,No,Electronic check,85.74,879.49,No,0,High,22.039999999999964
7590-0644,Female,0,No,Yes,54,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,94.98,4836.33,No,0,High,0.7300000000004729
7590-0647,Female,0,No,Yes,54,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,62.65,3184.83,No,0,Medium,-4.370000000000346
